Basler camera_prev,Basler camera_rec,Nozzle camera_prev,Nozzle camera_rec,Webcam 2_prev,Webcam 2_rec,Basler camera_fps,Basler camera_time,Basler camera_frames,Basler camera_dropped,Basler camera_pct_dropped,Nozzle camera_fps,Nozzle camera_time,Nozzle camera_frames,Nozzle camera_dropped,Nozzle camera_pct_dropped,Webcam 2_fps,Webcam 2_time,Webcam 2_frames,Webcam 2_dropped,Webcam 2_pct_dropped
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,100,20.12,2012,30,0.014910537,,,,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,100,20.28,2028,40,0.019723866,15,,,,,,,,,
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100,20.42,2042,51,0.024975514,15,,,,,15,,,,
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,100,19.98,1998,34,0.017017017,15,,,,,,,,,
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,100,20.16,2016,34,0.016865079,15,19.698,294,98,0.333333333,,,,,
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,100,20.28,2028,38,0.018737673,15,19.765,295,98,0.33220339,,,,,
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,100,20.43,2043,47,0.023005384,15,20.033,299,100,0.334448161,15,,,,
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,100,19.99,1999,22,0.011005503,15,19.966,298,100,0.33557047,,,,,
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,100,20.18,2018,32,0.015857284,15,19.765,295,98,0.33220339,15,19.765,295,98,0.33220339
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,100,20.31,2031,30,0.014771049,15,19.966,298,100,0.33557047,15,19.765,295,98,0.33220339
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,20.44,2044,42,0.020547945,15,20.033,299,100,0.334448161,15,19.832,296,98,0.331081081
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,100,20.02,2002,26,0.012987013,15,19.966,298,100,0.33557047,15,19.765,295,98,0.33220339
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,100,,,,,15,19.698,294,98,0.333333333,,,,,
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,100,,,,,15,19.832,296,98,0.331081081,,,,,
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,100,,,,,15,20.033,299,100,0.334448161,15,,,,
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,15,19.899,297,100,0.336700337,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,min,0.011005503,,,,min,0.331081081,,,,min,0.331081081
,,,,,,,,,max,0.024975514,,,,max,0.33557047,,,,max,0.33220339
,,,,,,,,,med,0.016941048,,,,med,0.334448161,,,,med,0.33220339
