Basler camera_prev,Basler camera_rec,Nozzle camera_prev,Nozzle camera_rec,Webcam 2_prev,Webcam 2_rec,Basler camera_fps,Basler camera_recfps,Basler camera_prevfps,Basler camera_time,Basler camera_frames,Basler camera_dropped,Basler camera_pct_dropped,Basler camera_realtime,Basler camera_realframes,Basler camera_timeError,Basler camera_frameError,Nozzle camera_fps,Nozzle camera_recfps,Nozzle camera_prevfps,Nozzle camera_time,Nozzle camera_frames,Nozzle camera_dropped,Nozzle camera_pct_dropped,Nozzle camera_realtime,Nozzle camera_realframes,Nozzle camera_timeError,Nozzle camera_frameError,Webcam 2_fps,Webcam 2_recfps,Webcam 2_prevfps,Webcam 2_time,Webcam 2_frames,Webcam 2_dropped,Webcam 2_pct_dropped,Webcam 2_realtime,Webcam 2_realframes,Webcam 2_timeError,Webcam 2_frameError
False,False,False,True,False,False,,,,,,,,,,,,15.0,15.0,15.0,59.697000000000145,891.0,306.0,0.3434343434343434,59.4,891.0,-0.004975124378111891,0.0,,,,,,,,,,,
False,False,True,True,False,False,,,,,,,,,,,,15.0,15.0,15.0,59.831000000000145,893.0,308.0,0.3449048152295633,59.53333333333333,893.0,-0.004975124378111899,0.0,,,,,,,,,,,
True,False,False,True,False,False,120.0,30.0,15.0,,,,,,,,,15.0,15.0,15.0,59.630000000000145,890.0,308.0,0.34606741573033706,59.333333333333336,890.0,-0.004975124378111827,0.0,,,,,,,,,,,
True,False,True,True,True,False,120.0,30.0,15.0,,,,,,,,,15.0,15.0,15.0,59.965000000000146,895.0,309.0,0.3452513966480447,59.666666666666664,895.0,-0.004975124378111907,0.0,15.0,15.0,15.0,,,,,,,,
False,True,False,False,False,False,120.0,30.0,15.0,59.98400000000671,1874.0,0.0,0.0,60.03333333333333,1801.0,0.0008224415398542384,-0.03895410885805763,,,,,,,,,,,,,,,,,,,,,,
False,True,False,True,False,False,120.0,30.0,15.0,59.99200000000671,1874.0,0.0,0.0,60.03333333333333,1801.0,0.0006889807528772979,-0.03895410885805763,15.0,15.0,15.0,59.697000000000145,891.0,306.0,0.3434343434343434,59.4,891.0,-0.004975124378111891,0.0,,,,,,,,,,,
False,True,False,True,False,True,120.0,30.0,15.0,60.00800000000672,1875.0,0.0,0.0,60.06666666666667,1802.0,0.0009776474246758118,-0.038933333333333334,15.0,15.0,15.0,59.697000000000145,891.0,304.0,0.34118967452300786,59.4,891.0,-0.004975124378111891,0.0,15.0,15.0,15.0,59.697000000000145,891.0,304.0,0.34118967452300786,59.4,891.0,-0.004975124378111891,0.0
True,True,False,False,False,False,120.0,30.0,15.0,60.17600000000677,1880.0,37.0,0.019680851063829788,60.233333333333334,1807.0,0.0009527607904572325,-0.038829787234042554,,,,,,,,,,,,,,,,,,,,,,
True,True,True,False,True,False,120.0,30.0,15.0,60.43200000000686,1888.0,91.0,0.048199152542372885,60.5,1815.0,0.0011252316652292393,-0.03866525423728814,15.0,15.0,15.0,,,,,,,,,15.0,15.0,15.0,,,,,,,,
True,True,False,True,False,False,120.0,30.0,15.0,60.12800000000676,1879.0,42.0,0.022352315061202766,60.2,1806.0,0.0011974454495948207,-0.038850452368281004,15.0,15.0,15.0,59.697000000000145,891.0,307.0,0.3445566778900112,59.4,891.0,-0.004975124378111891,0.0,,,,,,,,,,,
True,True,False,True,False,True,120.0,30.0,15.0,60.184000000006776,1880.0,35.0,0.018617021276595744,60.233333333333334,1807.0,0.0008197084495306502,-0.038829787234042554,15.0,15.0,15.0,59.697000000000145,891.0,306.0,0.3434343434343434,59.4,891.0,-0.004975124378111891,0.0,15.0,15.0,15.0,59.697000000000145,891.0,306.0,0.3434343434343434,59.4,891.0,-0.004975124378111891,0.0
True,True,True,True,True,False,120.0,30.0,15.0,60.60800000000692,1894.0,111.0,0.05860612460401267,60.7,1821.0,0.0015179514254401178,-0.038542766631467794,15.0,15.0,15.0,60.166000000000146,898.0,311.0,0.3463251670378619,59.86666666666667,898.0,-0.00497512437811186,0.0,15.0,15.0,15.0,,,,,,,,
True,True,True,True,True,True,120.0,30.0,15.0,60.64000000000693,1895.0,114.0,0.06015831134564644,60.7,1821.0,0.0009894459101759173,-0.03905013192612137,15.0,15.0,15.0,60.166000000000146,898.0,313.0,0.34855233853006684,59.86666666666667,898.0,-0.00497512437811186,0.0,15.0,15.0,15.0,59.965000000000146,895.0,310.0,0.3463687150837989,59.666666666666664,895.0,-0.004975124378111907,0.0
