Basler camera_prev,Basler camera_rec,Nozzle camera_prev,Nozzle camera_rec,Webcam 2_prev,Webcam 2_rec,Basler camera_fps,Basler camera_recfps,Basler camera_prevfps,Basler camera_time,Basler camera_frames,Basler camera_dropped,Basler camera_pct_dropped,Basler camera_realtime,Basler camera_realframes,Nozzle camera_fps,Nozzle camera_recfps,Nozzle camera_prevfps,Nozzle camera_time,Nozzle camera_frames,Nozzle camera_dropped,Nozzle camera_pct_dropped,Nozzle camera_realtime,Nozzle camera_realframes,Webcam 2_fps,Webcam 2_recfps,Webcam 2_prevfps,Webcam 2_time,Webcam 2_frames,Webcam 2_dropped,Webcam 2_pct_dropped,Webcam 2_realtime,Webcam 2_realframes
False,False,False,True,False,False,,,,,,,,,,15.0,15.0,15.0,19.698000000000043,294.0,98.0,0.3333333333333333,0.0,0.0,,,,,,,,,
True,False,False,True,False,False,120.0,30.0,15.0,,,,,,,15.0,15.0,15.0,19.631000000000043,293.0,98.0,0.33447098976109213,0.0,0.0,,,,,,,,,
False,True,False,False,True,False,120.0,30.0,15.0,19.975999999998688,624.0,0.0,0.0,0.0,0.0,,,,,,,,,,15.0,15.0,15.0,,,,,,
