Basler camera_prev,Basler camera_rec,Nozzle camera_prev,Nozzle camera_rec,Webcam 2_prev,Webcam 2_rec,Basler camera_fps,Basler camera_time,Basler camera_frames,Basler camera_dropped,Basler camera_pct_dropped,Nozzle camera_fps,Nozzle camera_time,Nozzle camera_frames,Nozzle camera_dropped,Nozzle camera_pct_dropped,Webcam 2_fps,Webcam 2_time,Webcam 2_frames,Webcam 2_dropped,Webcam 2_pct_dropped
True,True,False,False,False,False,100.0,20.120000000000346,2012.0,30.0,0.014910536779324055,,,,,,,,,,
True,True,True,False,False,False,100.0,20.28000000000037,2028.0,40.0,0.01972386587771203,15.0,,,,,,,,,
True,True,True,False,True,False,100.0,20.420000000000393,2042.0,51.0,0.02497551420176298,15.0,,,,,15.0,,,,
False,True,True,False,False,False,100.0,19.980000000000324,1998.0,34.0,0.01701701701701702,15.0,,,,,,,,,
True,True,False,True,False,False,100.0,20.160000000000352,2016.0,34.0,0.016865079365079364,15.0,19.698000000000043,294.0,98.0,0.3333333333333333,,,,,
True,True,True,True,False,False,100.0,20.28000000000037,2028.0,38.0,0.01873767258382643,15.0,19.765000000000043,295.0,98.0,0.33220338983050846,,,,,
True,True,True,True,True,False,100.0,20.430000000000394,2043.0,47.0,0.023005384238864415,15.0,20.033000000000044,299.0,100.0,0.33444816053511706,15.0,,,,
False,True,True,True,False,False,100.0,19.990000000000325,1999.0,22.0,0.011005502751375688,15.0,19.966000000000044,298.0,100.0,0.33557046979865773,,,,,
True,True,False,True,False,True,100.0,20.180000000000355,2018.0,32.0,0.015857284440039643,15.0,19.765000000000043,295.0,98.0,0.33220338983050846,15.0,19.765000000000043,295.0,98.0,0.33220338983050846
True,True,True,True,False,True,100.0,20.310000000000375,2031.0,30.0,0.014771048744460856,15.0,19.966000000000044,298.0,100.0,0.33557046979865773,15.0,19.765000000000043,295.0,98.0,0.33220338983050846
True,True,True,True,True,True,100.0,20.440000000000396,2044.0,42.0,0.02054794520547945,15.0,20.033000000000044,299.0,100.0,0.33444816053511706,15.0,19.832000000000043,296.0,98.0,0.3310810810810811
False,True,True,True,False,True,100.0,20.02000000000033,2002.0,26.0,0.012987012987012988,15.0,19.966000000000044,298.0,100.0,0.33557046979865773,15.0,19.765000000000043,295.0,98.0,0.33220338983050846
True,False,False,True,False,False,100.0,,,,,15.0,19.698000000000043,294.0,98.0,0.3333333333333333,,,,,
True,False,True,True,False,False,100.0,,,,,15.0,19.832000000000043,296.0,98.0,0.3310810810810811,,,,,
True,False,True,True,True,False,100.0,,,,,15.0,20.033000000000044,299.0,100.0,0.33444816053511706,15.0,,,,
False,False,True,True,False,False,,,,,,15.0,19.899000000000044,297.0,100.0,0.3367003367003367,,,,,
