,x,y,z,line,p11_before,p11_after,p0_before,p0_after,speed
0,,,,41,0,0,0,0,0.0
1,17.5,8.794,,41,0,1,0,0,20.0
2,17.5,8.794,,43,1,1,0,1,0.0
3,17.5,8.794,,44,1,1,1,0,0.0
4,17.5,8.794,-22.5,45,1,1,0,0,20.0
5,20.0,10.0,-22.5,46,1,1,0,1,20.0
6,5.0,10.0,-22.5,48,1,1,1,0,10.0
7,5.0,11.809,-22.5,50,1,1,0,0,10.0
8,12.5,11.809,-22.5,51,1,1,0,0,10.0
9,12.5,11.809,-22.5,52,1,1,0,0,0.0
10,20.0,11.809,-22.5,53,1,1,0,0,10.0
11,20.0,10.376875,-22.5,54,1,1,0,0,10.0
12,5.0,10.376875,-22.5,55,1,1,0,0,10.0
13,5.0,11.809,-22.5,56,1,1,0,0,10.0
14,12.5,11.809,-22.5,57,1,1,0,0,10.0
15,12.5,11.809,-22.5,58,1,1,0,0,0.0
16,12.5,11.809,-20.0,59,1,1,0,0,20.0
17,20.0,11.809,-20.0,60,1,1,0,0,20.0
18,20.0,10.0,-20.0,61,1,1,0,0,20.0
19,20.0,10.0,-17.5,62,1,1,0,1,20.0
20,5.0,10.0,-17.5,64,1,1,1,0,10.0
21,5.0,11.809,-17.5,66,1,1,0,0,10.0
22,12.5,11.809,-17.5,67,1,1,0,0,10.0
23,12.5,11.809,-17.5,68,1,1,0,0,0.0
24,20.0,11.809,-17.5,69,1,1,0,0,10.0
25,20.0,10.376875,-17.5,70,1,1,0,0,10.0
26,5.0,10.376875,-17.5,71,1,1,0,0,10.0
27,5.0,11.809,-17.5,72,1,1,0,0,10.0
28,12.5,11.809,-17.5,73,1,1,0,0,10.0
29,12.5,11.809,-17.5,74,1,1,0,0,0.0
30,12.5,11.809,-15.0,75,1,1,0,0,20.0
31,20.0,11.809,-15.0,76,1,1,0,0,20.0
32,20.0,10.0,-15.0,77,1,1,0,0,20.0
33,20.0,10.0,-12.5,78,1,1,0,1,20.0
34,5.0,10.0,-12.5,80,1,1,1,0,10.0
35,5.0,11.809,-12.5,82,1,1,0,0,10.0
36,12.5,11.809,-12.5,83,1,1,0,0,10.0
37,12.5,11.809,-12.5,84,1,1,0,0,0.0
38,20.0,11.809,-12.5,85,1,1,0,0,10.0
39,20.0,10.376875,-12.5,86,1,1,0,0,10.0
40,5.0,10.376875,-12.5,87,1,1,0,0,10.0
41,5.0,11.809,-12.5,88,1,1,0,0,10.0
42,12.5,11.809,-12.5,89,1,1,0,0,10.0
43,12.5,11.809,-12.5,90,1,1,0,0,0.0
44,12.5,11.809,-10.0,91,1,1,0,0,20.0
45,20.0,11.809,-10.0,92,1,1,0,0,20.0
46,20.0,10.0,-10.0,93,1,1,0,0,20.0
47,20.0,10.0,-7.5,94,1,1,0,1,20.0
48,5.0,10.0,-7.5,96,1,1,1,0,10.0
49,5.0,11.809,-7.5,98,1,1,0,0,10.0
50,12.5,11.809,-7.5,99,1,1,0,0,10.0
51,12.5,11.809,-7.5,100,1,1,0,0,0.0
52,20.0,11.809,-7.5,101,1,1,0,0,10.0
53,20.0,10.376875,-7.5,102,1,1,0,0,10.0
54,5.0,10.376875,-7.5,103,1,1,0,0,10.0
55,5.0,11.809,-7.5,104,1,1,0,0,10.0
56,12.5,11.809,-7.5,105,1,1,0,0,10.0
57,12.5,11.809,-7.5,106,1,1,0,0,0.0
58,12.5,11.809,-5.0,107,1,1,0,0,20.0
59,20.0,11.809,-5.0,108,1,1,0,0,20.0
60,20.0,10.0,-5.0,109,1,1,0,0,20.0
61,20.0,10.0,10.0,110,1,0,0,0,20.0
