,x,y,z,line,p11_before,p11_after,p0_before,p0_after,speed
0,,,,21,0,1,0,0,0.0
1,,,,23,1,1,0,1,0.0
2,,,,24,1,1,1,0,0.0
3,12.5,2.5,,25,1,1,0,0,10.0
4,12.5,2.5,-25.0,26,1,1,0,0,20.0
5,12.5,2.5,-22.5,27,1,1,0,1,10.0
6,12.5,11.5,-22.5,29,1,1,1,1,10.0
7,12.5,12.5,-22.5,30,1,1,1,0,10.0
8,12.5,12.5,-20.691,32,1,1,0,0,10.0
9,12.5,7.5,-20.691,33,1,1,0,0,10.0
10,12.5,7.5,-20.691,34,1,1,0,0,0.0
11,12.5,2.5,-20.691,35,1,1,0,0,20.0
12,12.5,2.5,-22.1985,36,1,1,0,0,10.0
13,12.5,12.5,-22.1985,37,1,1,0,0,10.0
14,12.5,12.5,-20.691,38,1,1,0,0,20.0
15,12.5,7.5,-20.691,39,1,1,0,0,10.0
16,12.5,7.5,-20.691,40,1,1,0,0,0.0
17,12.5,2.5,-20.691,41,1,1,0,0,20.0
18,12.5,2.5,-17.5,42,1,1,0,1,10.0
19,12.5,11.5,-17.5,44,1,1,1,1,10.0
20,12.5,12.5,-17.5,45,1,1,1,0,10.0
21,12.5,12.5,-15.691,47,1,1,0,0,10.0
22,12.5,7.5,-15.691,48,1,1,0,0,10.0
23,12.5,7.5,-15.691,49,1,1,0,0,0.0
24,12.5,2.5,-15.691,50,1,1,0,0,20.0
25,12.5,2.5,-17.1985,51,1,1,0,0,10.0
26,12.5,12.5,-17.1985,52,1,1,0,0,10.0
27,12.5,12.5,-15.691,53,1,1,0,0,20.0
28,12.5,7.5,-15.691,54,1,1,0,0,10.0
29,12.5,7.5,-15.691,55,1,1,0,0,0.0
30,12.5,2.5,-15.691,56,1,1,0,0,20.0
31,12.5,2.5,-12.5,57,1,1,0,1,10.0
32,12.5,11.5,-12.5,59,1,1,1,1,10.0
33,12.5,12.5,-12.5,60,1,1,1,0,10.0
34,12.5,12.5,-10.691,62,1,1,0,0,10.0
35,12.5,7.5,-10.691,63,1,1,0,0,10.0
36,12.5,7.5,-10.691,64,1,1,0,0,0.0
37,12.5,2.5,-10.691,65,1,1,0,0,20.0
38,12.5,2.5,-12.1985,66,1,1,0,0,10.0
39,12.5,12.5,-12.1985,67,1,1,0,0,10.0
40,12.5,12.5,-10.691,68,1,1,0,0,20.0
41,12.5,7.5,-10.691,69,1,1,0,0,10.0
42,12.5,7.5,-10.691,70,1,1,0,0,0.0
43,12.5,2.5,-10.691,71,1,1,0,0,20.0
44,12.5,2.5,-7.5,72,1,1,0,1,10.0
45,12.5,11.5,-7.5,74,1,1,1,1,10.0
46,12.5,12.5,-7.5,75,1,1,1,0,10.0
47,12.5,12.5,-5.691,77,1,1,0,0,10.0
48,12.5,7.5,-5.691,78,1,1,0,0,10.0
49,12.5,7.5,-5.691,79,1,1,0,0,0.0
50,12.5,2.5,-5.691,80,1,1,0,0,20.0
51,12.5,2.5,-7.1985,81,1,1,0,0,10.0
52,12.5,12.5,-7.1985,82,1,1,0,0,10.0
53,12.5,12.5,-5.691,83,1,1,0,0,20.0
54,12.5,7.5,-5.691,84,1,1,0,0,10.0
55,12.5,7.5,-5.691,85,1,1,0,0,0.0
56,12.5,2.5,-5.691,86,1,1,0,0,20.0
57,12.5,2.5,10.0,87,1,0,0,0,20.0
