,x,y,z,line,p11_before,p11_after,p0_before,p0_after,speed
0,,,,41,0,0,0,0,0.0
1,17.5,43.794,,41,0,1,0,0,20.0
2,17.5,43.794,,43,1,1,0,1,0.0
3,17.5,43.794,,44,1,1,1,0,0.0
4,17.5,43.794,-22.5,45,1,1,0,0,20.0
5,20.0,45.0,-22.5,46,1,1,0,1,20.0
6,5.0,45.0,-22.5,48,1,1,1,0,10.0
7,5.0,46.809,-22.5,50,1,1,0,0,10.0
8,12.5,46.809,-22.5,51,1,1,0,0,10.0
9,12.5,46.809,-22.5,52,1,1,0,0,0.0
10,20.0,46.809,-22.5,53,1,1,0,0,10.0
11,20.0,46.809,-22.04775,54,1,1,0,0,10.0
12,20.0,45.0,-22.04775,55,1,1,0,0,10.0
13,5.0,45.0,-22.04775,56,1,1,0,0,10.0
14,5.0,46.809,-22.04775,57,1,1,0,0,10.0
15,12.5,46.809,-22.04775,58,1,1,0,0,10.0
16,12.5,46.809,-22.04775,59,1,1,0,0,0.0
17,12.5,46.809,-20.0,60,1,1,0,0,20.0
18,20.0,46.809,-20.0,61,1,1,0,0,20.0
19,20.0,45.0,-20.0,62,1,1,0,0,20.0
20,20.0,45.0,-17.5,63,1,1,0,1,20.0
21,5.0,45.0,-17.5,65,1,1,1,0,10.0
22,5.0,46.809,-17.5,67,1,1,0,0,10.0
23,12.5,46.809,-17.5,68,1,1,0,0,10.0
24,12.5,46.809,-17.5,69,1,1,0,0,0.0
25,20.0,46.809,-17.5,70,1,1,0,0,10.0
26,20.0,46.809,-17.04775,71,1,1,0,0,10.0
27,20.0,45.0,-17.04775,72,1,1,0,0,10.0
28,5.0,45.0,-17.04775,73,1,1,0,0,10.0
29,5.0,46.809,-17.04775,74,1,1,0,0,10.0
30,12.5,46.809,-17.04775,75,1,1,0,0,10.0
31,12.5,46.809,-17.04775,76,1,1,0,0,0.0
32,12.5,46.809,-15.0,77,1,1,0,0,20.0
33,20.0,46.809,-15.0,78,1,1,0,0,20.0
34,20.0,45.0,-15.0,79,1,1,0,0,20.0
35,20.0,45.0,-12.5,80,1,1,0,1,20.0
36,5.0,45.0,-12.5,82,1,1,1,0,10.0
37,5.0,46.809,-12.5,84,1,1,0,0,10.0
38,12.5,46.809,-12.5,85,1,1,0,0,10.0
39,12.5,46.809,-12.5,86,1,1,0,0,0.0
40,20.0,46.809,-12.5,87,1,1,0,0,10.0
41,20.0,46.809,-12.04775,88,1,1,0,0,10.0
42,20.0,45.0,-12.04775,89,1,1,0,0,10.0
43,5.0,45.0,-12.04775,90,1,1,0,0,10.0
44,5.0,46.809,-12.04775,91,1,1,0,0,10.0
45,12.5,46.809,-12.04775,92,1,1,0,0,10.0
46,12.5,46.809,-12.04775,93,1,1,0,0,0.0
47,12.5,46.809,-10.0,94,1,1,0,0,20.0
48,20.0,46.809,-10.0,95,1,1,0,0,20.0
49,20.0,45.0,-10.0,96,1,1,0,0,20.0
50,20.0,45.0,-7.5,97,1,1,0,1,20.0
51,5.0,45.0,-7.5,99,1,1,1,0,10.0
52,5.0,46.809,-7.5,101,1,1,0,0,10.0
53,12.5,46.809,-7.5,102,1,1,0,0,10.0
54,12.5,46.809,-7.5,103,1,1,0,0,0.0
55,20.0,46.809,-7.5,104,1,1,0,0,10.0
56,20.0,46.809,-7.04775,105,1,1,0,0,10.0
57,20.0,45.0,-7.04775,106,1,1,0,0,10.0
58,5.0,45.0,-7.04775,107,1,1,0,0,10.0
59,5.0,46.809,-7.04775,108,1,1,0,0,10.0
60,12.5,46.809,-7.04775,109,1,1,0,0,10.0
61,12.5,46.809,-7.04775,110,1,1,0,0,0.0
62,12.5,46.809,-5.0,111,1,1,0,0,20.0
63,20.0,46.809,-5.0,112,1,1,0,0,20.0
64,20.0,45.0,-5.0,113,1,1,0,0,20.0
65,20.0,45.0,10.0,114,1,0,0,0,20.0
