,x,y,z,line,p11_before,p11_after,p7_before,p7_after,speed
0,,,,6,0,1,0,0,0.0
1,0.0,0.0,0.0,7,1,1,0,1,10.0
2,0.0,10.0,0.0,9,1,1,1,0,10.0
3,0.0,0.0,0.0,11,1,1,0,1,10.0
4,0.0,10.0,0.0,13,1,1,1,0,10.0
5,0.0,0.0,0.0,15,1,1,0,1,10.0
6,0.0,10.0,0.0,17,1,1,1,0,10.0
7,0.0,10.0,0.0,19,1,0,0,0,0.0
