,x,y,z,p0_before,p0_after,speed
135,12.5,50.0,-20.0,0,0.0,20.0
136,12.5,50.0,-17.5,0,1.0,20.0
137,12.5,56.0,-17.5,1,0.0,10.0
138,12.5,56.0,-16.25,0,1.0,20.0
139,12.5,50.0,-16.25,1,0.0,10.0
140,12.5,50.0,-15.0,0,0.0,20.0
141,,,,-1000,15.0,
142,12.5,50.0,-15.0,0,0.0,10.0
143,12.5,50.0,-15.0,0,0.0,20.0
144,12.5,50.0,-12.5,0,1.0,20.0
145,12.5,56.0,-12.5,1,0.0,10.0
146,12.5,56.0,-11.25,0,1.0,20.0
147,12.5,50.0,-11.25,1,0.0,10.0
148,12.5,50.0,-10.0,0,0.0,20.0
149,,,,-1000,20.0,
150,12.5,50.0,-10.0,0,0.0,10.0
151,12.5,50.0,-10.0,0,0.0,20.0
152,12.5,50.0,-7.5,0,1.0,20.0
153,12.5,56.0,-7.5,1,0.0,10.0
154,12.5,56.0,-6.25,0,1.0,20.0
155,12.5,50.0,-6.25,1,0.0,10.0
156,12.5,50.0,-5.0,0,0.0,20.0
157,,,,-1000,40.0,
158,12.5,50.0,-5.0,0,0.0,10.0
159,12.5,50.0,-5.0,0,0.0,20.0
160,12.5,50.0,-2.5,0,1.0,20.0
161,12.5,56.0,-2.5,1,0.0,10.0
162,12.5,56.0,-1.25,0,1.0,20.0
163,12.5,50.0,-1.25,1,0.0,10.0
164,12.5,50.0,0.0,0,0.0,20.0
165,12.5,61.0,0.0,0,0.0,20.0
166,,,,-1000,5.0,
167,12.5,61.0,0.0,0,0.0,10.0
168,12.5,61.0,0.0,0,0.0,20.0
169,12.5,61.0,-22.5,0,1.0,20.0
170,12.5,65.0,-22.5,1,0.0,10.0
171,12.5,65.0,-21.25,0,1.0,20.0
172,12.5,61.0,-21.25,1,0.0,10.0
173,12.5,61.0,-20.0,0,0.0,20.0
174,,,,-1000,10.0,
175,12.5,61.0,-20.0,0,0.0,10.0
176,12.5,61.0,-20.0,0,0.0,20.0
177,12.5,61.0,-17.5,0,1.0,20.0
178,12.5,65.0,-17.5,1,0.0,10.0
179,12.5,65.0,-16.25,0,1.0,20.0
180,12.5,61.0,-16.25,1,0.0,10.0
181,12.5,61.0,-15.0,0,0.0,20.0
182,,,,-1000,15.0,
183,12.5,61.0,-15.0,0,0.0,10.0
184,12.5,61.0,-15.0,0,0.0,20.0
185,12.5,61.0,-12.5,0,1.0,20.0
186,12.5,65.0,-12.5,1,0.0,10.0
187,12.5,65.0,-11.25,0,1.0,20.0
188,12.5,61.0,-11.25,1,0.0,10.0
189,12.5,61.0,-10.0,0,0.0,20.0
190,,,,-1000,20.0,
191,12.5,61.0,-10.0,0,0.0,10.0
192,12.5,61.0,-10.0,0,0.0,20.0
193,12.5,61.0,-7.5,0,1.0,20.0
194,12.5,65.0,-7.5,1,0.0,10.0
195,12.5,65.0,-6.25,0,1.0,20.0
196,12.5,61.0,-6.25,1,0.0,10.0
197,12.5,61.0,-5.0,0,0.0,20.0
198,,,,-1000,40.0,
199,12.5,61.0,-5.0,0,0.0,10.0
200,12.5,61.0,-5.0,0,0.0,20.0
201,12.5,61.0,-2.5,0,1.0,20.0
202,12.5,65.0,-2.5,1,0.0,10.0
203,12.5,65.0,-1.25,0,1.0,20.0
204,12.5,61.0,-1.25,1,0.0,10.0
205,12.5,61.0,0.0,0,0.0,20.0
206,12.5,70.0,0.0,0,0.0,20.0
207,,,,-1000,5.0,
208,12.5,70.0,0.0,0,0.0,10.0
209,12.5,70.0,0.0,0,0.0,20.0
210,12.5,70.0,-22.5,0,1.0,20.0
211,12.5,72.0,-22.5,1,0.0,10.0
212,12.5,72.0,-21.25,0,1.0,20.0
213,12.5,70.0,-21.25,1,0.0,10.0
214,12.5,70.0,-20.0,0,0.0,20.0
215,,,,-1000,10.0,
216,12.5,70.0,-20.0,0,0.0,10.0
217,12.5,70.0,-20.0,0,0.0,20.0
218,12.5,70.0,-17.5,0,1.0,20.0
219,12.5,72.0,-17.5,1,0.0,10.0
220,12.5,72.0,-16.25,0,1.0,20.0
221,12.5,70.0,-16.25,1,0.0,10.0
222,12.5,70.0,-15.0,0,0.0,20.0
223,,,,-1000,15.0,
224,12.5,70.0,-15.0,0,0.0,10.0
225,12.5,70.0,-15.0,0,0.0,20.0
226,12.5,70.0,-12.5,0,1.0,20.0
227,12.5,72.0,-12.5,1,0.0,10.0
228,12.5,72.0,-11.25,0,1.0,20.0
229,12.5,70.0,-11.25,1,0.0,10.0
230,12.5,70.0,-10.0,0,0.0,20.0
231,,,,-1000,20.0,
232,12.5,70.0,-10.0,0,0.0,10.0
233,12.5,70.0,-10.0,0,0.0,20.0
234,12.5,70.0,-7.5,0,1.0,20.0
235,12.5,72.0,-7.5,1,0.0,10.0
236,12.5,72.0,-6.25,0,1.0,20.0
237,12.5,70.0,-6.25,1,0.0,10.0
238,12.5,70.0,-5.0,0,0.0,20.0
239,,,,-1000,40.0,
240,12.5,70.0,-5.0,0,0.0,10.0
241,12.5,70.0,-5.0,0,0.0,20.0
242,12.5,70.0,-2.5,0,1.0,20.0
243,12.5,72.0,-2.5,1,0.0,10.0
244,12.5,72.0,-1.25,0,1.0,20.0
245,12.5,70.0,-1.25,1,0.0,10.0
246,12.5,70.0,0.0,0,0.0,20.0
247,12.5,70.0,10.0,0,0.0,10.0
