,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,12.5,24.9,,1,1,0,0,20.0
4,12.5,24.9,-22.5,1,1,0,0,10.0
5,12.5,25.0,-22.5,1,1,0,1,20.0
6,12.5,35.0,-22.5,1,1,1,1,10.0
7,12.5,35.0,-22.04775,1,1,1,1,10.0
8,12.5,25.0,-22.04775,1,1,1,1,10.0
9,12.5,25.0,-20.0,1,1,1,1,10.0
10,12.5,35.0,-20.0,1,1,1,1,10.0
11,12.5,35.0,-19.54775,1,1,1,1,10.0
12,12.5,25.0,-19.54775,1,1,1,1,10.0
13,12.5,25.0,-17.5,1,1,1,1,10.0
14,12.5,35.0,-17.5,1,1,1,1,10.0
15,12.5,35.0,-17.04775,1,1,1,1,10.0
16,12.5,25.0,-17.04775,1,1,1,0,10.0
17,12.5,25.0,-15.0,1,1,0,0,20.0
18,12.04775,25.0,-15.0,1,1,0,0,20.0
19,12.04775,26.25,-15.0,1,1,0,0,20.0
20,12.04775,26.25,-23.75,1,1,0,1,20.0
21,12.04775,26.25,-15.0,1,1,1,0,10.0
22,12.04775,28.75,-15.0,1,1,0,0,20.0
23,12.04775,28.75,-23.75,1,1,0,1,20.0
24,12.04775,28.75,-15.0,1,1,1,0,10.0
25,12.04775,31.25,-15.0,1,1,0,0,20.0
26,12.04775,31.25,-23.75,1,1,0,1,20.0
27,12.04775,31.25,-15.0,1,1,1,0,10.0
28,12.04775,33.75,-15.0,1,1,0,0,20.0
29,12.04775,33.75,-23.75,1,1,0,1,20.0
30,12.04775,33.75,-15.0,1,1,1,0,10.0
31,12.04775,33.75,10.0,1,0,0,0,20.0
