,x,y,z,p11_before,p11_after,p1_before,p1_after,p0_before,p0_after,speed
0,12.5,13.65,,0,0,0,0,0,0,20.0
1,12.5,13.65,-22.5,0,0,0,0,0,0,10.0
2,12.5,13.75,-22.5,0,0,0,0,0,1,20.0
3,12.5,23.75,-22.5,0,0,0,0,1,1,10.0
4,12.5,23.75,-22.123125,0,0,0,0,1,1,10.0
5,12.5,13.75,-22.123125,0,0,0,0,1,1,10.0
6,12.5,13.75,-20.0,0,0,0,0,1,1,10.0
7,12.5,23.75,-20.0,0,0,0,0,1,1,10.0
8,12.5,23.75,-19.623125,0,0,0,0,1,1,10.0
9,12.5,13.75,-19.623125,0,0,0,0,1,1,10.0
10,12.5,13.75,-17.5,0,0,0,0,1,1,10.0
11,12.5,23.75,-17.5,0,0,0,0,1,1,10.0
12,12.5,23.75,-17.123125,0,0,0,0,1,1,10.0
13,12.5,13.75,-17.123125,0,0,0,0,1,0,10.0
14,12.5,13.75,-15.0,0,0,0,0,0,0,20.0
15,12.123125,13.75,-15.0,0,0,0,0,0,0,20.0
16,12.123125,15.0,-15.0,0,0,0,0,0,0,20.0
17,12.123125,15.0,-23.75,0,0,0,0,0,1,20.0
18,12.123125,15.0,-15.0,0,0,0,0,1,0,10.0
19,12.123125,17.5,-15.0,0,0,0,0,0,0,20.0
20,12.123125,17.5,-23.75,0,0,0,0,0,1,20.0
21,12.123125,17.5,-15.0,0,0,0,0,1,0,10.0
22,12.123125,20.0,-15.0,0,0,0,0,0,0,20.0
23,12.123125,20.0,-23.75,0,0,0,0,0,1,20.0
24,12.123125,20.0,-15.0,0,0,0,0,1,0,10.0
25,12.123125,22.5,-15.0,0,0,0,0,0,0,20.0
26,12.123125,22.5,-23.75,0,0,0,0,0,1,20.0
27,12.123125,22.5,-15.0,0,0,0,0,1,0,10.0
28,12.123125,22.5,10.0,0,0,0,0,0,0,20.0
