,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,12.5,61.545,,1,1,0,0,20.0
4,12.5,61.545,-15.0,1,1,0,0,20.0
5,12.5,61.545,-15.0,1,1,0,0,20.0
6,12.5,61.545,-15.0,1,1,0,0,20.0
7,12.5,61.545,-22.5,1,1,0,1,20.0
8,12.5,61.545,-15.0,1,1,1,0,10.0
9,12.5,62.29875,-15.0,1,1,0,0,20.0
10,12.5,62.29875,-22.5,1,1,0,1,20.0
11,12.5,62.29875,-15.0,1,1,1,0,10.0
12,12.5,63.0525,-15.0,1,1,0,0,20.0
13,12.5,63.0525,-22.5,1,1,0,1,20.0
14,12.5,63.0525,-15.0,1,1,1,0,10.0
15,12.5,63.0525,-5.0,1,1,0,0,20.0
16,12.5,63.0525,-5.0,1,1,0,0,20.0
17,12.5,61.545,-5.0,1,1,0,0,20.0
18,12.5,61.545,-12.5,1,1,0,1,20.0
19,12.5,61.545,-5.0,1,1,1,0,10.0
20,12.5,62.29875,-5.0,1,1,0,0,20.0
21,12.5,62.29875,-12.5,1,1,0,1,20.0
22,12.5,62.29875,-5.0,1,1,1,0,10.0
23,12.5,63.0525,-5.0,1,1,0,0,20.0
24,12.5,63.0525,-12.5,1,1,0,1,20.0
25,12.5,63.0525,-5.0,1,1,1,0,10.0
26,12.5,68.0525,-5.0,1,1,0,0,20.0
27,12.5,68.0525,-15.0,1,1,0,0,20.0
28,12.5,68.0525,-15.0,1,1,0,0,20.0
29,12.5,68.0525,-15.0,1,1,0,0,20.0
30,12.5,68.0525,-22.5,1,1,0,1,20.0
31,12.5,68.0525,-15.0,1,1,1,0,10.0
32,12.5,68.80625,-15.0,1,1,0,0,20.0
33,12.5,68.80625,-22.5,1,1,0,1,20.0
34,12.5,68.80625,-15.0,1,1,1,0,10.0
35,12.5,69.56,-15.0,1,1,0,0,20.0
36,12.5,69.56,-22.5,1,1,0,1,20.0
37,12.5,69.56,-15.0,1,1,1,0,10.0
38,12.5,69.56,-5.0,1,1,0,0,20.0
39,12.5,69.56,-5.0,1,1,0,0,20.0
40,12.5,68.0525,-5.0,1,1,0,0,20.0
41,12.5,68.0525,-12.5,1,1,0,1,20.0
42,12.5,68.0525,-5.0,1,1,1,0,10.0
43,12.5,68.80625,-5.0,1,1,0,0,20.0
44,12.5,68.80625,-12.5,1,1,0,1,20.0
45,12.5,68.80625,-5.0,1,1,1,0,10.0
46,12.5,69.56,-5.0,1,1,0,0,20.0
47,12.5,69.56,-12.5,1,1,0,1,20.0
48,12.5,69.56,-5.0,1,1,1,0,10.0
49,12.5,74.56,-5.0,1,1,0,0,20.0
50,12.5,74.56,10.0,1,0,0,0,20.0
