,x,y,z,p2_before,p2_after,speed
0,,,,0,0,10.0
1,,,,0,0,20.0
2,0.0,0.0,0.0,0,0,10.0
3,0.0,0.0,0.0,0,1,0.0
4,0.0,0.0,0.0,1,0,0.0
5,12.5,2.5,0.0,0,0,20.0
6,12.5,2.8015,-20.5,0,0,10.0
7,12.5,2.8015,-20.5,0,0,10.0
8,12.5,2.8015,-20.5,0,1,0.0
9,12.5,2.8015,-20.5,1,0,0.0
10,12.5,2.8015,-16.5,0,0,10.0
11,12.5,2.8015,-16.5,0,0,10.0
12,12.5,2.8015,-16.5,0,1,0.0
13,12.5,2.8015,-16.5,1,0,0.0
14,12.5,2.8015,-10.5,0,0,10.0
15,12.5,2.8015,-10.5,0,0,10.0
16,12.5,2.8015,-10.5,0,1,0.0
17,12.5,2.8015,-10.5,1,0,0.0
18,12.5,2.8015,-6.5,0,0,10.0
19,12.5,2.8015,-6.5,0,0,10.0
20,12.5,2.8015,-6.5,0,1,0.0
21,12.5,2.8015,-6.5,1,0,0.0
22,12.5,8.4045,-20.5,0,0,10.0
23,12.5,8.4045,-20.5,0,0,10.0
24,12.5,8.4045,-20.5,0,1,0.0
25,12.5,8.4045,-20.5,1,0,0.0
26,12.5,8.4045,-16.5,0,0,10.0
27,12.5,8.4045,-16.5,0,0,10.0
28,12.5,8.4045,-16.5,0,1,0.0
29,12.5,8.4045,-16.5,1,0,0.0
30,12.5,8.4045,-10.5,0,0,10.0
31,12.5,8.4045,-10.5,0,0,10.0
32,12.5,8.4045,-10.5,0,1,0.0
33,12.5,8.4045,-10.5,1,0,0.0
34,12.5,8.4045,-6.5,0,0,10.0
35,12.5,8.4045,-6.5,0,0,10.0
36,12.5,8.4045,-6.5,0,1,0.0
37,12.5,8.4045,-6.5,1,0,0.0
38,12.5,14.082875,-20.5,0,0,10.0
39,12.5,14.082875,-20.5,0,0,10.0
40,12.5,14.082875,-20.5,0,1,0.0
41,12.5,14.082875,-20.5,1,0,0.0
42,12.5,14.082875,-16.5,0,0,10.0
43,12.5,14.082875,-16.5,0,0,10.0
44,12.5,14.082875,-16.5,0,1,0.0
45,12.5,14.082875,-16.5,1,0,0.0
46,12.5,14.082875,-10.5,0,0,10.0
47,12.5,14.082875,-10.5,0,0,10.0
48,12.5,14.082875,-10.5,0,1,0.0
49,12.5,14.082875,-10.5,1,0,0.0
50,12.5,14.082875,-6.5,0,0,10.0
51,12.5,14.082875,-6.5,0,0,10.0
52,12.5,14.082875,-6.5,0,1,0.0
53,12.5,14.082875,-6.5,1,0,0.0
54,12.5,19.836624999999998,-20.5,0,0,10.0
55,12.5,19.836624999999998,-20.5,0,0,10.0
56,12.5,19.836624999999998,-20.5,0,1,0.0
57,12.5,19.836624999999998,-20.5,1,0,0.0
58,12.5,19.836624999999998,-16.5,0,0,10.0
59,12.5,19.836624999999998,-16.5,0,0,10.0
60,12.5,19.836624999999998,-16.5,0,1,0.0
61,12.5,19.836624999999998,-16.5,1,0,0.0
62,12.5,19.836624999999998,-10.5,0,0,10.0
63,12.5,19.836624999999998,-10.5,0,0,10.0
64,12.5,19.836624999999998,-10.5,0,1,0.0
65,12.5,19.836624999999998,-10.5,1,0,0.0
66,12.5,19.836624999999998,-6.5,0,0,10.0
67,12.5,19.836624999999998,-6.5,0,0,10.0
68,12.5,19.836624999999998,-6.5,0,1,0.0
69,12.5,19.836624999999998,-6.5,1,0,0.0
70,12.5,25.66575,-20.5,0,0,10.0
71,12.5,25.66575,-20.5,0,0,10.0
72,12.5,25.66575,-20.5,0,1,0.0
73,12.5,25.66575,-20.5,1,0,0.0
74,12.5,25.66575,-16.5,0,0,10.0
75,12.5,25.66575,-16.5,0,0,10.0
76,12.5,25.66575,-16.5,0,1,0.0
77,12.5,25.66575,-16.5,1,0,0.0
78,12.5,25.66575,-10.5,0,0,10.0
79,12.5,25.66575,-10.5,0,0,10.0
80,12.5,25.66575,-10.5,0,1,0.0
81,12.5,25.66575,-10.5,1,0,0.0
