,x,y,z,p0_before,p0_after,speed
0,12.5,47.5,,0,0,20.0
1,12.5,47.5,-22.5,0,1,20.0
2,12.5,57.5,-22.5,1,1,10.0
3,12.5,57.5,-21.897,1,1,10.0
4,12.5,47.5,-21.897,1,1,10.0
5,12.5,47.5,-20.0,1,1,10.0
6,12.5,57.5,-20.0,1,1,10.0
7,12.5,57.5,-19.397,1,1,10.0
8,12.5,47.5,-19.397,1,1,10.0
9,12.5,47.5,-17.5,1,1,10.0
10,12.5,57.5,-17.5,1,1,10.0
11,12.5,57.5,-16.897,1,1,10.0
12,12.5,47.5,-16.897,1,0,10.0
13,12.5,47.5,-15.0,0,0,20.0
14,11.897,47.5,-15.0,0,0,20.0
15,11.897,48.75,-15.0,0,0,20.0
16,11.897,48.75,-23.75,0,1,20.0
17,11.897,48.75,-15.0,1,0,10.0
18,11.897,51.25,-15.0,0,0,20.0
19,11.897,51.25,-23.75,0,1,20.0
20,11.897,51.25,-15.0,1,0,10.0
21,11.897,53.75,-15.0,0,0,20.0
22,11.897,53.75,-23.75,0,1,20.0
23,11.897,53.75,-15.0,1,0,10.0
24,11.897,56.25,-15.0,0,0,20.0
25,11.897,56.25,-23.75,0,1,20.0
26,11.897,56.25,-15.0,1,0,10.0
27,11.897,56.25,10.0,0,0,10.0
