,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,12.5,47.4,,1,1,0,0,20.0
4,12.5,47.4,-13.103,1,1,0,0,10.0
5,12.5,47.5,-13.103,1,1,0,1,20.0
6,12.5,57.5,-13.103,1,1,1,1,10.0
7,12.5,57.5,-12.5,1,1,1,1,10.0
8,12.5,47.5,-12.5,1,1,1,0,10.0
9,11.0,48.65,-12.5,1,1,0,0,20.0
10,11.0,48.65,-11.897,1,1,0,0,10.0
11,11.0,48.75,-11.897,1,1,0,1,20.0
12,14.0,48.75,-11.897,1,1,1,0,10.0
13,14.0,51.25,-11.897,1,1,0,1,20.0
14,11.0,51.25,-11.897,1,1,1,0,10.0
15,11.0,53.75,-11.897,1,1,0,1,20.0
16,14.0,53.75,-11.897,1,1,1,0,10.0
17,14.0,56.25,-11.897,1,1,0,1,20.0
18,11.0,56.25,-11.897,1,1,1,0,10.0
19,11.0,56.25,-9.397,1,1,0,0,20.0
20,12.5,47.4,-9.397,1,1,0,0,20.0
21,12.5,47.4,-10.603,1,1,0,0,10.0
22,12.5,47.5,-10.603,1,1,0,1,20.0
23,12.5,57.5,-10.603,1,1,1,1,10.0
24,12.5,57.5,-10.0,1,1,1,1,10.0
25,12.5,47.5,-10.0,1,1,1,0,10.0
26,11.0,48.65,-10.0,1,1,0,0,20.0
27,11.0,48.65,-9.397,1,1,0,0,10.0
28,11.0,48.75,-9.397,1,1,0,1,20.0
29,14.0,48.75,-9.397,1,1,1,0,10.0
30,14.0,51.25,-9.397,1,1,0,1,20.0
31,11.0,51.25,-9.397,1,1,1,0,10.0
32,11.0,53.75,-9.397,1,1,0,1,20.0
33,14.0,53.75,-9.397,1,1,1,0,10.0
34,14.0,56.25,-9.397,1,1,0,1,20.0
35,11.0,56.25,-9.397,1,1,1,0,10.0
36,11.0,56.25,-6.897,1,1,0,0,20.0
37,12.5,47.4,-6.897,1,1,0,0,20.0
38,12.5,47.4,-8.103,1,1,0,0,10.0
39,12.5,47.5,-8.103,1,1,0,1,20.0
40,12.5,57.5,-8.103,1,1,1,1,10.0
41,12.5,57.5,-7.5,1,1,1,1,10.0
42,12.5,47.5,-7.5,1,1,1,0,10.0
43,11.0,48.65,-7.5,1,1,0,0,20.0
44,11.0,48.65,-6.897,1,1,0,0,10.0
45,11.0,48.75,-6.897,1,1,0,1,20.0
46,14.0,48.75,-6.897,1,1,1,0,10.0
47,14.0,51.25,-6.897,1,1,0,1,20.0
48,11.0,51.25,-6.897,1,1,1,0,10.0
49,11.0,53.75,-6.897,1,1,0,1,20.0
50,14.0,53.75,-6.897,1,1,1,0,10.0
51,14.0,56.25,-6.897,1,1,0,1,20.0
52,11.0,56.25,-6.897,1,1,1,0,10.0
53,11.0,56.25,-4.397,1,1,0,0,20.0
54,11.0,56.25,10.0,1,0,0,0,20.0
