,x,y,z,p11_before,p11_after,p1_before,p1_after,p0_before,p0_after,speed
0,,,-15.0,0,0,0,0,0,0,20.0
1,12.5,,-15.0,0,0,0,0,0,0,20.0
2,12.5,27.7135,-15.0,0,0,0,0,0,0,20.0
3,12.5,27.7135,-22.5,0,0,0,0,0,1,20.0
4,12.5,27.7135,-15.0,0,0,0,0,1,0,10.0
5,12.5,28.16575,-15.0,0,0,0,0,0,0,20.0
6,12.5,28.16575,-22.5,0,0,0,0,0,1,20.0
7,12.5,28.16575,-15.0,0,0,0,0,1,0,10.0
8,12.5,28.16575,-15.0,0,0,0,0,0,0,20.0
9,12.5,28.16575,-15.0,0,0,0,0,0,0,20.0
10,12.5,31.118,-15.0,0,0,0,0,0,0,20.0
11,12.5,31.118,-22.5,0,0,0,0,0,1,20.0
12,12.5,31.118,-15.0,0,0,0,0,1,0,10.0
13,12.5,31.57025,-15.0,0,0,0,0,0,0,20.0
14,12.5,31.57025,-22.5,0,0,0,0,0,1,20.0
15,12.5,31.57025,-15.0,0,0,0,0,1,0,10.0
16,12.04775,25.791874999999997,-15.0,0,0,0,0,0,0,20.0
17,12.04775,25.791874999999997,-21.25,0,0,0,0,0,0,10.0
18,12.04775,25.891875,-21.25,0,0,0,0,0,1,20.0
19,12.04775,33.391875,-21.25,0,0,0,0,1,1,10.0
20,12.04775,33.391875,-19.583333333333332,0,0,0,0,1,1,10.0
21,12.04775,25.891875,-19.583333333333332,0,0,0,0,1,1,10.0
22,12.04775,25.891875,-17.916666666666668,0,0,0,0,1,1,10.0
23,12.04775,33.391875,-17.916666666666668,0,0,0,0,1,1,10.0
24,12.04775,33.391875,-16.25,0,0,0,0,1,1,10.0
25,12.04775,25.891875,-16.25,0,0,0,0,1,0,10.0
26,12.04775,25.891875,10.0,0,0,0,0,0,0,20.0
