,x,y,z,p11_before,p11_after,p1_before,p1_after,p0_before,p0_after,speed
0,12.5,37.0225,,0,0,0,0,0,0,20.0
1,12.5,37.0225,-15.0,0,0,0,0,0,0,20.0
2,12.5,37.0225,-15.0,0,0,0,0,0,0,20.0
3,12.5,37.0225,-15.0,0,0,0,0,0,0,20.0
4,12.5,37.0225,-22.5,0,0,0,0,0,1,20.0
5,12.5,37.0225,-15.0,0,0,0,0,1,0,10.0
6,12.5,37.550125,-15.0,0,0,0,0,0,0,20.0
7,12.5,37.550125,-22.5,0,0,0,0,0,1,20.0
8,12.5,37.550125,-15.0,0,0,0,0,1,0,10.0
9,12.5,38.07775,-15.0,0,0,0,0,0,0,20.0
10,12.5,38.07775,-22.5,0,0,0,0,0,1,20.0
11,12.5,38.07775,-15.0,0,0,0,0,1,0,10.0
12,12.5,38.07775,-5.0,0,0,0,0,0,0,20.0
13,12.5,38.07775,-5.0,0,0,0,0,0,0,20.0
14,12.5,37.0225,-5.0,0,0,0,0,0,0,20.0
15,12.5,37.0225,-12.5,0,0,0,0,0,1,20.0
16,12.5,37.0225,-5.0,0,0,0,0,1,0,10.0
17,12.5,37.550125,-5.0,0,0,0,0,0,0,20.0
18,12.5,37.550125,-12.5,0,0,0,0,0,1,20.0
19,12.5,37.550125,-5.0,0,0,0,0,1,0,10.0
20,12.5,38.07775,-5.0,0,0,0,0,0,0,20.0
21,12.5,38.07775,-12.5,0,0,0,0,0,1,20.0
22,12.5,38.07775,-5.0,0,0,0,0,1,0,10.0
23,12.5,43.07775,-5.0,0,0,0,0,0,0,20.0
24,12.5,43.07775,-15.0,0,0,0,0,0,0,20.0
25,12.5,43.07775,-15.0,0,0,0,0,0,0,20.0
26,12.5,43.07775,-15.0,0,0,0,0,0,0,20.0
27,12.5,43.07775,-22.5,0,0,0,0,0,1,20.0
28,12.5,43.07775,-15.0,0,0,0,0,1,0,10.0
29,12.5,43.605375,-15.0,0,0,0,0,0,0,20.0
30,12.5,43.605375,-22.5,0,0,0,0,0,1,20.0
31,12.5,43.605375,-15.0,0,0,0,0,1,0,10.0
32,12.5,44.133,-15.0,0,0,0,0,0,0,20.0
33,12.5,44.133,-22.5,0,0,0,0,0,1,20.0
34,12.5,44.133,-15.0,0,0,0,0,1,0,10.0
35,12.5,44.133,-5.0,0,0,0,0,0,0,20.0
36,12.5,44.133,-5.0,0,0,0,0,0,0,20.0
37,12.5,43.07775,-5.0,0,0,0,0,0,0,20.0
38,12.5,43.07775,-12.5,0,0,0,0,0,1,20.0
39,12.5,43.07775,-5.0,0,0,0,0,1,0,10.0
40,12.5,43.605375,-5.0,0,0,0,0,0,0,20.0
41,12.5,43.605375,-12.5,0,0,0,0,0,1,20.0
42,12.5,43.605375,-5.0,0,0,0,0,1,0,10.0
43,12.5,44.133,-5.0,0,0,0,0,0,0,20.0
44,12.5,44.133,-12.5,0,0,0,0,0,1,20.0
45,12.5,44.133,-5.0,0,0,0,0,1,0,10.0
46,12.5,49.133,-5.0,0,0,0,0,0,0,20.0
47,12.5,49.133,10.0,0,0,0,0,0,0,20.0
