,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,-15.0,0,0,0,0,20.0
1,12.5,,-15.0,0,0,0,0,20.0
2,12.5,64.045,-15.0,0,0,0,0,20.0
3,12.5,64.045,-22.5,0,0,0,1,20.0
4,12.5,64.045,-15.0,0,0,1,0,10.0
5,12.5,64.79875,-15.0,0,0,0,0,20.0
6,12.5,64.79875,-22.5,0,0,0,1,20.0
7,12.5,64.79875,-15.0,0,0,1,0,10.0
8,12.5,64.79875,-15.0,0,0,0,0,20.0
9,12.5,64.79875,-15.0,0,0,0,0,20.0
10,12.5,68.0525,-15.0,0,0,0,0,20.0
11,12.5,68.0525,-22.5,0,0,0,1,20.0
12,12.5,68.0525,-15.0,0,0,1,0,10.0
13,12.5,68.80625,-15.0,0,0,0,0,20.0
14,12.5,68.80625,-22.5,0,0,0,1,20.0
15,12.5,68.80625,-15.0,0,0,1,0,10.0
16,11.74625,62.675625,-15.0,0,0,0,0,20.0
17,11.74625,62.675625,-21.25,0,0,0,1,20.0
18,11.74625,70.175625,-21.25,0,0,1,1,10.0
19,11.74625,70.175625,-19.583333333333332,0,0,1,1,10.0
20,11.74625,62.675625,-19.583333333333332,0,0,1,1,10.0
21,11.74625,62.675625,-17.916666666666668,0,0,1,1,10.0
22,11.74625,70.175625,-17.916666666666668,0,0,1,1,10.0
23,11.74625,70.175625,-16.25,0,0,1,1,10.0
24,11.74625,62.675625,-16.25,0,0,1,0,10.0
25,11.74625,62.675625,10.0,0,0,0,0,20.0
