,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,12.5,,,1,1,0,0,10.0
4,12.5,2.4,,1,1,0,0,20.0
5,12.5,2.4,-22.5,1,1,0,0,10.0
6,12.5,2.5,-22.5,1,1,0,1,20.0
7,12.5,11.625,-22.5,1,1,1,0,10.0
8,12.5,11.625,-22.1985,1,1,0,1,20.0
9,12.5,2.5,-22.1985,1,1,1,0,10.0
10,12.5,2.5,-21.897,1,1,0,1,20.0
11,12.5,11.625,-21.897,1,1,1,0,10.0
12,12.5,11.625,-20.0,1,1,0,0,20.0
13,12.5,2.5,-20.0,1,1,0,0,20.0
14,12.5,2.4,-20.0,1,1,0,0,20.0
15,12.5,2.4,-17.5,1,1,0,0,10.0
16,12.5,2.5,-17.5,1,1,0,1,20.0
17,12.5,11.625,-17.5,1,1,1,0,10.0
18,12.5,11.625,-17.1985,1,1,0,1,20.0
19,12.5,2.5,-17.1985,1,1,1,0,10.0
20,12.5,2.5,-16.897,1,1,0,1,20.0
21,12.5,11.625,-16.897,1,1,1,0,10.0
22,12.5,11.625,-15.0,1,1,0,0,20.0
23,12.5,2.5,-15.0,1,1,0,0,20.0
24,12.5,2.4,-15.0,1,1,0,0,20.0
25,12.5,2.4,-12.5,1,1,0,0,10.0
26,12.5,2.5,-12.5,1,1,0,1,20.0
27,12.5,11.625,-12.5,1,1,1,0,10.0
28,12.5,11.625,-12.1985,1,1,0,1,20.0
29,12.5,2.5,-12.1985,1,1,1,0,10.0
30,12.5,2.5,-11.897,1,1,0,1,20.0
31,12.5,11.625,-11.897,1,1,1,0,10.0
32,12.5,11.625,-10.0,1,1,0,0,20.0
33,12.5,2.5,-10.0,1,1,0,0,20.0
34,12.5,2.4,-10.0,1,1,0,0,20.0
35,12.5,2.4,-7.5,1,1,0,0,10.0
36,12.5,2.5,-7.5,1,1,0,1,20.0
37,12.5,11.625,-7.5,1,1,1,0,10.0
38,12.5,11.625,-7.1985,1,1,0,1,20.0
39,12.5,2.5,-7.1985,1,1,1,0,10.0
40,12.5,2.5,-6.897,1,1,0,1,20.0
41,12.5,11.625,-6.897,1,1,1,0,10.0
42,12.5,11.625,-5.0,1,1,0,0,20.0
43,12.5,2.5,-5.0,1,1,0,0,20.0
44,12.5,2.5,10.0,1,0,0,0,20.0
