,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,7.5,4.9,,1,1,0,0,20.0
4,7.5,4.9,-22.5,1,1,0,0,10.0
5,7.5,5.0,-22.5,1,1,0,1,20.0
6,17.5,5.0,-22.5,1,1,1,0,10.0
7,17.5,5.3015,-22.5,1,1,0,1,20.0
8,7.5,5.3015,-22.5,1,1,1,0,10.0
9,7.5,5.603,-22.5,1,1,0,1,20.0
10,17.5,5.603,-22.5,1,1,1,0,10.0
11,17.5,5.603,-20.0,1,1,0,0,20.0
12,7.5,4.9,-20.0,1,1,0,0,20.0
13,7.5,4.9,-17.5,1,1,0,0,10.0
14,7.5,5.0,-17.5,1,1,0,1,20.0
15,17.5,5.0,-17.5,1,1,1,0,10.0
16,17.5,5.3015,-17.5,1,1,0,1,20.0
17,7.5,5.3015,-17.5,1,1,1,0,10.0
18,7.5,5.603,-17.5,1,1,0,1,20.0
19,17.5,5.603,-17.5,1,1,1,0,10.0
20,17.5,5.603,-15.0,1,1,0,0,20.0
21,7.5,4.9,-15.0,1,1,0,0,20.0
22,7.5,4.9,-12.5,1,1,0,0,10.0
23,7.5,5.0,-12.5,1,1,0,1,20.0
24,17.5,5.0,-12.5,1,1,1,0,10.0
25,17.5,5.3015,-12.5,1,1,0,1,20.0
26,7.5,5.3015,-12.5,1,1,1,0,10.0
27,7.5,5.603,-12.5,1,1,0,1,20.0
28,17.5,5.603,-12.5,1,1,1,0,10.0
29,17.5,5.603,-10.0,1,1,0,0,20.0
30,7.5,4.9,-10.0,1,1,0,0,20.0
31,7.5,4.9,-7.5,1,1,0,0,10.0
32,7.5,5.0,-7.5,1,1,0,1,20.0
33,17.5,5.0,-7.5,1,1,1,0,10.0
34,17.5,5.3015,-7.5,1,1,0,1,20.0
35,7.5,5.3015,-7.5,1,1,1,0,10.0
36,7.5,5.603,-7.5,1,1,0,1,20.0
37,17.5,5.603,-7.5,1,1,1,0,10.0
38,17.5,5.603,-5.0,1,1,0,0,20.0
39,17.5,5.603,10.0,1,0,0,0,20.0
