,x,y,z,p11_before,p11_after,p1_before,p1_after,p0_before,p0_after,speed
0,7.5,28.2165,,0,0,0,0,0,0,20.0
1,7.5,28.2165,-22.5,0,0,0,0,0,0,10.0
2,7.5,28.3165,-22.5,0,0,0,0,0,1,20.0
3,17.5,28.3165,-22.5,0,0,0,0,1,0,10.0
4,17.5,28.9195,-22.5,0,0,0,0,0,1,20.0
5,7.5,28.9195,-22.5,0,0,0,0,1,0,10.0
6,7.5,29.5225,-22.5,0,0,0,0,0,1,20.0
7,17.5,29.5225,-22.5,0,0,0,0,1,0,10.0
8,17.5,29.5225,-20.0,0,0,0,0,0,0,20.0
9,7.5,28.2165,-20.0,0,0,0,0,0,0,20.0
10,7.5,28.2165,-17.5,0,0,0,0,0,0,10.0
11,7.5,28.3165,-17.5,0,0,0,0,0,1,20.0
12,17.5,28.3165,-17.5,0,0,0,0,1,0,10.0
13,17.5,28.9195,-17.5,0,0,0,0,0,1,20.0
14,7.5,28.9195,-17.5,0,0,0,0,1,0,10.0
15,7.5,29.5225,-17.5,0,0,0,0,0,1,20.0
16,17.5,29.5225,-17.5,0,0,0,0,1,0,10.0
17,17.5,29.5225,-15.0,0,0,0,0,0,0,20.0
18,7.5,28.2165,-15.0,0,0,0,0,0,0,20.0
19,7.5,28.2165,-12.5,0,0,0,0,0,0,10.0
20,7.5,28.3165,-12.5,0,0,0,0,0,1,20.0
21,17.5,28.3165,-12.5,0,0,0,0,1,0,10.0
22,17.5,28.9195,-12.5,0,0,0,0,0,1,20.0
23,7.5,28.9195,-12.5,0,0,0,0,1,0,10.0
24,7.5,29.5225,-12.5,0,0,0,0,0,1,20.0
25,17.5,29.5225,-12.5,0,0,0,0,1,0,10.0
26,17.5,29.5225,-10.0,0,0,0,0,0,0,20.0
27,7.5,28.2165,-10.0,0,0,0,0,0,0,20.0
28,7.5,28.2165,-7.5,0,0,0,0,0,0,10.0
29,7.5,28.3165,-7.5,0,0,0,0,0,1,20.0
30,17.5,28.3165,-7.5,0,0,0,0,1,0,10.0
31,17.5,28.9195,-7.5,0,0,0,0,0,1,20.0
32,7.5,28.9195,-7.5,0,0,0,0,1,0,10.0
33,7.5,29.5225,-7.5,0,0,0,0,0,1,20.0
34,17.5,29.5225,-7.5,0,0,0,0,1,0,10.0
35,17.5,29.5225,-5.0,0,0,0,0,0,0,20.0
36,17.5,29.5225,10.0,0,0,0,0,0,0,20.0
