,x,y,z,p11_before,p11_after,p2_before,p2_after,speed
0,,50.0,,0,0,0,0,10.0
1,,50.0,-24.0,0,0,0,0,10.0
2,11.593,50.0,-24.0,0,0,0,0,10.0
3,11.593,50.0,-24.0,0,0,0,1,0.0
4,11.593,50.0,-24.0,0,0,1,0,0.0
5,11.593,50.0,-22.0,0,0,0,0,10.0
6,11.593,50.0,-22.0,0,0,0,0,10.0
7,11.593,50.0,-22.0,0,0,0,1,0.0
8,11.593,50.0,-22.0,0,0,1,0,0.0
9,11.593,50.0,-20.0,0,0,0,0,10.0
10,11.593,50.0,-20.0,0,0,0,0,10.0
11,11.593,50.0,-20.0,0,0,0,1,0.0
12,11.593,50.0,-20.0,0,0,1,0,0.0
13,11.593,50.0,-18.0,0,0,0,0,10.0
14,11.593,50.0,-18.0,0,0,0,0,10.0
15,11.593,50.0,-18.0,0,0,0,1,0.0
16,11.593,50.0,-18.0,0,0,1,0,0.0
17,11.593,50.0,-16.0,0,0,0,0,10.0
18,11.593,50.0,-16.0,0,0,0,0,10.0
19,11.593,50.0,-16.0,0,0,0,1,0.0
20,11.593,50.0,-16.0,0,0,1,0,0.0
21,11.593,50.0,-14.0,0,0,0,0,10.0
22,11.593,50.0,-14.0,0,0,0,0,10.0
23,11.593,50.0,-14.0,0,0,0,1,0.0
24,11.593,50.0,-14.0,0,0,1,0,0.0
25,11.593,50.0,-12.0,0,0,0,0,10.0
26,11.593,50.0,-12.0,0,0,0,0,10.0
27,11.593,50.0,-12.0,0,0,0,1,0.0
28,11.593,50.0,-12.0,0,0,1,0,0.0
29,11.593,50.0,-10.0,0,0,0,0,10.0
30,11.593,50.0,-10.0,0,0,0,0,10.0
31,11.593,50.0,-10.0,0,0,0,1,0.0
32,11.593,50.0,-10.0,0,0,1,0,0.0
33,11.593,50.0,-8.0,0,0,0,0,10.0
34,11.593,50.0,-8.0,0,0,0,0,10.0
35,11.593,50.0,-8.0,0,0,0,1,0.0
36,11.593,50.0,-8.0,0,0,1,0,0.0
37,11.593,50.0,-6.0,0,0,0,0,10.0
38,11.593,50.0,-6.0,0,0,0,0,10.0
39,11.593,50.0,-6.0,0,0,0,1,0.0
40,11.593,50.0,-6.0,0,0,1,0,0.0
41,11.593,50.0,-4.0,0,0,0,0,10.0
42,11.593,50.0,-4.0,0,0,0,0,10.0
43,11.593,50.0,-4.0,0,0,0,1,0.0
44,11.593,50.0,-4.0,0,0,1,0,0.0
45,11.593,53.0,-4.0,0,0,0,0,10.0
46,11.593,53.0,-24.0,0,0,0,0,10.0
47,11.593,53.0,-24.0,0,0,0,0,10.0
48,11.593,53.0,-24.0,0,0,0,1,0.0
49,11.593,53.0,-24.0,0,0,1,0,0.0
50,11.593,53.0,-22.0,0,0,0,0,10.0
51,11.593,53.0,-22.0,0,0,0,0,10.0
52,11.593,53.0,-22.0,0,0,0,1,0.0
53,11.593,53.0,-22.0,0,0,1,0,0.0
54,11.593,53.0,-20.0,0,0,0,0,10.0
55,11.593,53.0,-20.0,0,0,0,0,10.0
56,11.593,53.0,-20.0,0,0,0,1,0.0
57,11.593,53.0,-20.0,0,0,1,0,0.0
58,11.593,53.0,-18.0,0,0,0,0,10.0
59,11.593,53.0,-18.0,0,0,0,0,10.0
60,11.593,53.0,-18.0,0,0,0,1,0.0
61,11.593,53.0,-18.0,0,0,1,0,0.0
62,11.593,53.0,-16.0,0,0,0,0,10.0
63,11.593,53.0,-16.0,0,0,0,0,10.0
64,11.593,53.0,-16.0,0,0,0,1,0.0
65,11.593,53.0,-16.0,0,0,1,0,0.0
66,11.593,53.0,-14.0,0,0,0,0,10.0
67,11.593,53.0,-14.0,0,0,0,0,10.0
68,11.593,53.0,-14.0,0,0,0,1,0.0
69,11.593,53.0,-14.0,0,0,1,0,0.0
70,11.593,53.0,-12.0,0,0,0,0,10.0
71,11.593,53.0,-12.0,0,0,0,0,10.0
72,11.593,53.0,-12.0,0,0,0,1,0.0
73,11.593,53.0,-12.0,0,0,1,0,0.0
74,11.593,53.0,-10.0,0,0,0,0,10.0
75,11.593,53.0,-10.0,0,0,0,0,10.0
