,x,y,z,p11_before,p11_after,p2_before,p2_after,speed
0,,61.24999999999997,,0,0,0,0,10.0
1,,61.24999999999997,-24.0,0,0,0,0,10.0
2,11.593,61.24999999999997,-24.0,0,0,0,0,10.0
3,11.593,61.24999999999997,-24.0,0,0,0,1,0.0
4,11.593,61.24999999999997,-24.0,0,0,1,0,0.0
5,11.593,61.24999999999997,-22.0,0,0,0,0,10.0
6,11.593,61.24999999999997,-22.0,0,0,0,0,10.0
7,11.593,61.24999999999997,-22.0,0,0,0,1,0.0
8,11.593,61.24999999999997,-22.0,0,0,1,0,0.0
9,11.593,61.24999999999997,-20.0,0,0,0,0,10.0
10,11.593,61.24999999999997,-20.0,0,0,0,0,10.0
11,11.593,61.24999999999997,-20.0,0,0,0,1,0.0
12,11.593,61.24999999999997,-20.0,0,0,1,0,0.0
13,11.593,61.24999999999997,-18.0,0,0,0,0,10.0
14,11.593,61.24999999999997,-18.0,0,0,0,0,10.0
15,11.593,61.24999999999997,-18.0,0,0,0,1,0.0
16,11.593,61.24999999999997,-18.0,0,0,1,0,0.0
17,11.593,61.24999999999997,-16.0,0,0,0,0,10.0
18,11.593,61.24999999999997,-16.0,0,0,0,0,10.0
19,11.593,61.24999999999997,-16.0,0,0,0,1,0.0
20,11.593,61.24999999999997,-16.0,0,0,1,0,0.0
21,11.593,61.24999999999997,-14.0,0,0,0,0,10.0
22,11.593,61.24999999999997,-14.0,0,0,0,0,10.0
23,11.593,61.24999999999997,-14.0,0,0,0,1,0.0
24,11.593,61.24999999999997,-14.0,0,0,1,0,0.0
25,11.593,61.24999999999997,-12.0,0,0,0,0,10.0
26,11.593,61.24999999999997,-12.0,0,0,0,0,10.0
27,11.593,61.24999999999997,-12.0,0,0,0,1,0.0
28,11.593,61.24999999999997,-12.0,0,0,1,0,0.0
29,11.593,61.24999999999997,-10.0,0,0,0,0,10.0
30,11.593,61.24999999999997,-10.0,0,0,0,0,10.0
31,11.593,61.24999999999997,-10.0,0,0,0,1,0.0
32,11.593,61.24999999999997,-10.0,0,0,1,0,0.0
33,11.593,61.24999999999997,-8.0,0,0,0,0,10.0
34,11.593,61.24999999999997,-8.0,0,0,0,0,10.0
35,11.593,61.24999999999997,-8.0,0,0,0,1,0.0
36,11.593,61.24999999999997,-8.0,0,0,1,0,0.0
37,11.593,61.24999999999997,-6.0,0,0,0,0,10.0
38,11.593,61.24999999999997,-6.0,0,0,0,0,10.0
39,11.593,61.24999999999997,-6.0,0,0,0,1,0.0
40,11.593,61.24999999999997,-6.0,0,0,1,0,0.0
41,11.593,61.24999999999997,-12.5,0,0,0,0,10.0
42,11.593,30.0,-12.5,0,0,0,0,10.0
43,11.593,30.0,-20.0,0,0,0,0,10.0
44,11.593,30.0,-20.0,0,0,0,0,10.0
45,11.593,30.0,-20.0,0,0,0,1,0.0
46,11.593,30.0,-20.0,0,0,1,0,0.0
47,11.593,30.0,-18.0,0,0,0,0,10.0
48,11.593,30.0,-18.0,0,0,0,0,10.0
49,11.593,30.0,-18.0,0,0,0,1,0.0
50,11.593,30.0,-18.0,0,0,1,0,0.0
51,11.593,30.0,-16.0,0,0,0,0,10.0
52,11.593,30.0,-16.0,0,0,0,0,10.0
53,11.593,30.0,-16.0,0,0,0,1,0.0
54,11.593,30.0,-16.0,0,0,1,0,0.0
55,11.593,30.0,-14.0,0,0,0,0,10.0
56,11.593,30.0,-14.0,0,0,0,0,10.0
57,11.593,30.0,-14.0,0,0,0,1,0.0
58,11.593,30.0,-14.0,0,0,1,0,0.0
59,11.593,30.0,-12.0,0,0,0,0,10.0
60,11.593,30.0,-12.0,0,0,0,0,10.0
61,11.593,30.0,-12.0,0,0,0,1,0.0
62,11.593,30.0,-12.0,0,0,1,0,0.0
63,11.593,35.0,-12.0,0,0,0,0,10.0
64,11.593,35.0,-20.0,0,0,0,0,10.0
65,11.593,35.0,-20.0,0,0,0,0,10.0
66,11.593,35.0,-20.0,0,0,0,1,0.0
67,11.593,35.0,-20.0,0,0,1,0,0.0
68,11.593,35.0,-18.0,0,0,0,0,10.0
69,11.593,35.0,-18.0,0,0,0,0,10.0
70,11.593,35.0,-18.0,0,0,0,1,0.0
71,11.593,35.0,-18.0,0,0,1,0,0.0
72,11.593,35.0,-16.0,0,0,0,0,10.0
73,11.593,35.0,-16.0,0,0,0,0,10.0
74,11.593,35.0,-16.0,0,0,0,1,0.0
75,11.593,35.0,-16.0,0,0,1,0,0.0
76,11.593,35.0,-14.0,0,0,0,0,10.0
77,11.593,35.0,-14.0,0,0,0,0,10.0
78,11.593,35.0,-14.0,0,0,0,1,0.0
79,11.593,35.0,-14.0,0,0,1,0,0.0
80,11.593,35.0,-12.0,0,0,0,0,10.0
81,11.593,35.0,-12.0,0,0,0,0,10.0
82,11.593,35.0,-12.0,0,0,0,1,0.0
83,11.593,35.0,-12.0,0,0,1,0,0.0
84,11.593,40.0,-12.0,0,0,0,0,10.0
85,11.593,40.0,-20.0,0,0,0,0,10.0
86,11.593,40.0,-20.0,0,0,0,0,10.0
87,11.593,40.0,-20.0,0,0,0,1,0.0
88,11.593,40.0,-20.0,0,0,1,0,0.0
89,11.593,40.0,-18.0,0,0,0,0,10.0
90,11.593,40.0,-18.0,0,0,0,0,10.0
91,11.593,40.0,-18.0,0,0,0,1,0.0
92,11.593,40.0,-18.0,0,0,1,0,0.0
93,11.593,40.0,-16.0,0,0,0,0,10.0
94,11.593,40.0,-16.0,0,0,0,0,10.0
95,11.593,40.0,-16.0,0,0,0,1,0.0
96,11.593,40.0,-16.0,0,0,1,0,0.0
97,11.593,40.0,-14.0,0,0,0,0,10.0
98,11.593,40.0,-14.0,0,0,0,0,10.0
99,11.593,40.0,-14.0,0,0,0,1,0.0
100,11.593,40.0,-14.0,0,0,1,0,0.0
101,11.593,40.0,-12.0,0,0,0,0,10.0
102,11.593,40.0,-12.0,0,0,0,0,10.0
103,11.593,40.0,-12.0,0,0,0,1,0.0
104,11.593,40.0,-12.0,0,0,1,0,0.0
105,11.593,45.0,-12.0,0,0,0,0,10.0
106,11.593,45.0,-20.0,0,0,0,0,10.0
107,11.593,45.0,-20.0,0,0,0,0,10.0
