,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,0,0,0,0.0
1,17.5,53.794,,0,1,0,0,20.0
2,17.5,53.794,,1,1,0,1,0.0
3,17.5,53.794,,1,1,1,0,0.0
4,17.5,53.794,-22.5,1,1,0,0,20.0
5,17.5,55.0,-22.5,1,1,0,1,20.0
6,7.5,55.0,-22.5,1,1,1,0,10.0
7,7.5,56.809,-22.5,1,1,0,0,10.0
8,12.5,56.809,-22.5,1,1,0,0,10.0
9,12.5,56.809,-22.5,1,1,0,0,0.0
10,17.5,56.809,-22.5,1,1,0,0,10.0
11,17.5,56.809,-21.897,1,1,0,0,10.0
12,17.5,55.0,-21.897,1,1,0,0,10.0
13,7.5,55.0,-21.897,1,1,0,0,10.0
14,7.5,56.809,-21.897,1,1,0,0,10.0
15,12.5,56.809,-21.897,1,1,0,0,10.0
16,12.5,56.809,-21.897,1,1,0,0,0.0
17,12.5,56.809,-20.0,1,1,0,0,20.0
18,17.5,56.809,-20.0,1,1,0,0,20.0
19,17.5,55.0,-20.0,1,1,0,0,20.0
20,17.5,55.0,-17.5,1,1,0,1,20.0
21,7.5,55.0,-17.5,1,1,1,0,10.0
22,7.5,56.809,-17.5,1,1,0,0,10.0
23,12.5,56.809,-17.5,1,1,0,0,10.0
24,12.5,56.809,-17.5,1,1,0,0,0.0
25,17.5,56.809,-17.5,1,1,0,0,10.0
26,17.5,56.809,-16.897,1,1,0,0,10.0
27,17.5,55.0,-16.897,1,1,0,0,10.0
28,7.5,55.0,-16.897,1,1,0,0,10.0
29,7.5,56.809,-16.897,1,1,0,0,10.0
30,12.5,56.809,-16.897,1,1,0,0,10.0
31,12.5,56.809,-16.897,1,1,0,0,0.0
32,12.5,56.809,-15.0,1,1,0,0,20.0
33,17.5,56.809,-15.0,1,1,0,0,20.0
34,17.5,55.0,-15.0,1,1,0,0,20.0
35,17.5,55.0,-12.5,1,1,0,1,20.0
36,7.5,55.0,-12.5,1,1,1,0,10.0
37,7.5,56.809,-12.5,1,1,0,0,10.0
38,12.5,56.809,-12.5,1,1,0,0,10.0
39,12.5,56.809,-12.5,1,1,0,0,0.0
40,17.5,56.809,-12.5,1,1,0,0,10.0
41,17.5,56.809,-11.897,1,1,0,0,10.0
42,17.5,55.0,-11.897,1,1,0,0,10.0
43,7.5,55.0,-11.897,1,1,0,0,10.0
44,7.5,56.809,-11.897,1,1,0,0,10.0
45,12.5,56.809,-11.897,1,1,0,0,10.0
46,12.5,56.809,-11.897,1,1,0,0,0.0
47,12.5,56.809,-10.0,1,1,0,0,20.0
48,17.5,56.809,-10.0,1,1,0,0,20.0
49,17.5,55.0,-10.0,1,1,0,0,20.0
50,17.5,55.0,-7.5,1,1,0,1,20.0
51,7.5,55.0,-7.5,1,1,1,0,10.0
52,7.5,56.809,-7.5,1,1,0,0,10.0
53,12.5,56.809,-7.5,1,1,0,0,10.0
54,12.5,56.809,-7.5,1,1,0,0,0.0
55,17.5,56.809,-7.5,1,1,0,0,10.0
56,17.5,56.809,-6.897,1,1,0,0,10.0
57,17.5,55.0,-6.897,1,1,0,0,10.0
58,7.5,55.0,-6.897,1,1,0,0,10.0
59,7.5,56.809,-6.897,1,1,0,0,10.0
60,12.5,56.809,-6.897,1,1,0,0,10.0
61,12.5,56.809,-6.897,1,1,0,0,0.0
62,12.5,56.809,-5.0,1,1,0,0,20.0
63,17.5,56.809,-5.0,1,1,0,0,20.0
64,17.5,55.0,-5.0,1,1,0,0,20.0
65,17.5,55.0,10.0,1,0,0,0,20.0
