,x,y,z,line,p3_before,p3_after,p0_before,p0_after,p4_before,p4_after,p7_before,p7_after,speed
0,,,,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,22,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,,,,23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12.5,14.911999999999999,,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
4,12.5,14.911999999999999,,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
5,12.5,14.911999999999999,,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
6,12.5,14.911999999999999,-13.0,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
7,17.5,14.911999999999999,-13.0,28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
8,17.5,14.911999999999999,-21.25,29,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
9,17.5,14.911999999999999,-15.0,31,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
10,17.5,14.911999999999999,-13.0,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
11,17.5,17.927,-13.0,34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
12,17.5,17.927,-17.5,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
13,17.5,17.927,-17.5,36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,17.5,17.927,-17.5,38,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,17.5,17.927,-17.5,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17.5,17.927,-17.5,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,17.5,17.927,-17.5,43,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,17.5,17.927,-13.0,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
19,17.5,15.288875,-13.0,46,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
20,17.5,15.288875,-21.25,47,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
21,17.5,15.288875,-15.0,49,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
22,17.5,15.288875,-13.0,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
23,17.5,17.927,-13.0,52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
24,17.5,17.927,-17.5,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
25,17.5,17.927,-17.5,54,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,17.5,17.927,-17.5,56,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,17.5,17.927,-17.5,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,17.5,17.927,-17.5,59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,17.5,17.927,-17.5,61,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,17.5,17.927,-13.0,63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
31,17.5,15.66575,-13.0,64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
32,17.5,15.66575,-21.25,65,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
33,17.5,15.66575,-15.0,66,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
34,17.5,15.66575,-13.0,67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
35,17.5,17.927,-13.0,68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
36,17.5,17.927,-17.5,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
37,17.5,17.927,-17.5,70,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,17.5,17.927,-17.5,72,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,17.5,17.927,-17.5,74,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,17.5,17.927,-17.5,75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,17.5,17.927,-17.5,77,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,12.5,17.927,-17.5,79,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
43,12.5,14.911999999999999,-17.5,80,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
44,12.5,14.911999999999999,-3.0,81,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
45,7.5,14.911999999999999,-3.0,82,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
46,7.5,14.911999999999999,-11.25,83,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
47,7.5,14.911999999999999,-5.0,85,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
48,7.5,14.911999999999999,-3.0,87,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
49,7.5,17.927,-3.0,88,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
50,7.5,17.927,-7.5,89,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
51,7.5,17.927,-7.5,90,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,7.5,17.927,-7.5,92,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,7.5,17.927,-7.5,94,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,7.5,17.927,-7.5,95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55,7.5,17.927,-7.5,97,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,7.5,17.927,-3.0,99,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
57,7.5,15.288875,-3.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
58,7.5,15.288875,-11.25,101,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
59,7.5,15.288875,-5.0,103,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
60,7.5,15.288875,-3.0,105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
61,7.5,17.927,-3.0,106,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
62,7.5,17.927,-7.5,107,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
63,7.5,17.927,-7.5,108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,7.5,17.927,-7.5,110,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,7.5,17.927,-7.5,112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,7.5,17.927,-7.5,113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,7.5,17.927,-7.5,115,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,7.5,17.927,-3.0,117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
69,7.5,15.66575,-3.0,118,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
70,7.5,15.66575,-11.25,119,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
71,7.5,15.66575,-5.0,120,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
72,7.5,15.66575,-3.0,121,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
73,7.5,17.927,-3.0,122,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
74,7.5,17.927,-7.5,123,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
75,7.5,17.927,-7.5,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,7.5,17.927,-7.5,126,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77,7.5,17.927,-7.5,128,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,7.5,17.927,-7.5,129,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,7.5,17.927,-7.5,131,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,12.5,17.927,-7.5,133,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
81,12.5,21.118,-7.5,134,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
82,12.5,21.118,-13.0,135,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
83,17.5,21.118,-13.0,136,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
84,17.5,21.118,-21.25,137,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
85,17.5,21.118,-15.0,139,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
86,17.5,21.118,-13.0,141,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
87,17.5,24.133,-13.0,142,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
88,17.5,24.133,-17.5,143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
89,17.5,24.133,-17.5,144,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,17.5,24.133,-17.5,146,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,17.5,24.133,-17.5,148,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,17.5,24.133,-17.5,149,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93,17.5,24.133,-17.5,151,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,17.5,24.133,-13.0,153,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
95,17.5,21.494875,-13.0,154,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
96,17.5,21.494875,-21.25,155,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
97,17.5,21.494875,-15.0,157,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
98,17.5,21.494875,-13.0,159,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
99,17.5,24.133,-13.0,160,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
100,17.5,24.133,-17.5,161,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
101,17.5,24.133,-17.5,162,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102,17.5,24.133,-17.5,164,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,17.5,24.133,-17.5,166,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,17.5,24.133,-17.5,167,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,17.5,24.133,-17.5,169,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,17.5,24.133,-13.0,171,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
107,17.5,21.87175,-13.0,172,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
108,17.5,21.87175,-21.25,173,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
109,17.5,21.87175,-15.0,174,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
110,17.5,21.87175,-13.0,175,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
111,17.5,24.133,-13.0,176,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
112,17.5,24.133,-17.5,177,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
113,17.5,24.133,-17.5,178,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114,17.5,24.133,-17.5,180,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115,17.5,24.133,-17.5,182,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,17.5,24.133,-17.5,183,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,17.5,24.133,-17.5,185,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118,12.5,24.133,-17.5,187,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
119,12.5,21.118,-17.5,188,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
120,12.5,21.118,-3.0,189,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
121,7.5,21.118,-3.0,190,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
122,7.5,21.118,-11.25,191,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
123,7.5,21.118,-5.0,193,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
124,7.5,21.118,-3.0,195,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
125,7.5,24.133,-3.0,196,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
126,7.5,24.133,-7.5,197,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
