,x,y,z,line,p3_before,p3_after,p0_before,p0_after,p4_before,p4_after,p7_before,p7_after,speed
0,,,,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.0,53.991,,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2,20.0,53.991,,23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,20.0,53.991,,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.0,53.991,-22.5,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
5,20.0,53.991,-22.5,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6,20.0,53.991,-22.5,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
7,20.0,54.418,-22.5,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
8,5.0,54.418,-22.5,30,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
9,3.0,54.418,-22.5,32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
10,3.0,57.43299999999999,-22.5,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
11,12.5,57.43299999999999,-22.5,34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
12,12.5,57.43299999999999,-22.5,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,12.5,57.43299999999999,-22.5,37,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,12.5,57.43299999999999,-22.5,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,12.5,57.43299999999999,-22.5,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,12.5,57.43299999999999,-22.5,42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,20.0,57.43299999999999,-22.5,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
18,20.0,57.43299999999999,-21.74625,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
19,20.0,54.418,-21.74625,46,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
20,5.0,54.418,-21.74625,48,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
21,3.0,54.418,-21.74625,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
22,3.0,57.43299999999999,-21.74625,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
23,12.5,57.43299999999999,-22.5,52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
24,12.5,57.43299999999999,-22.5,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,12.5,57.43299999999999,-22.5,55,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,12.5,57.43299999999999,-22.5,57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,12.5,57.43299999999999,-22.5,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
