,x,y,z,line,p11_before,p11_after,p0_before,p0_after,speed
0,,,,20,0,1,0,0,0.0
1,,,,21,1,1,0,1,0.0
2,,,,22,1,1,1,0,0.0
3,12.5,38.125,,23,1,1,0,0,10.0
4,12.5,38.125,-25.0,24,1,1,0,0,20.0
5,18.5,38.125,-25.0,25,1,1,0,0,10.0
6,18.5,38.125,-22.5,26,1,1,0,1,10.0
7,18.5,46.125,-22.5,28,1,1,1,0,10.0
8,18.5,46.125,-20.691,30,1,1,0,0,10.0
9,18.5,42.125,-20.691,31,1,1,0,0,10.0
10,18.5,42.125,-20.691,32,1,1,0,0,0.0
11,18.5,38.125,-20.691,33,1,1,0,0,20.0
12,18.5,38.125,-21.972375,34,1,1,0,0,10.0
13,18.5,46.125,-21.972375,35,1,1,0,0,10.0
14,18.5,46.125,-20.691,36,1,1,0,0,20.0
15,18.5,42.125,-20.691,37,1,1,0,0,10.0
16,18.5,42.125,-20.691,38,1,1,0,0,0.0
17,18.5,38.125,-20.691,39,1,1,0,0,20.0
18,14.5,38.125,-20.691,40,1,1,0,0,10.0
19,14.5,38.125,-17.5,41,1,1,0,1,10.0
20,14.5,46.125,-17.5,43,1,1,1,0,10.0
21,14.5,46.125,-15.691,45,1,1,0,0,10.0
22,14.5,42.125,-15.691,46,1,1,0,0,10.0
23,14.5,42.125,-15.691,47,1,1,0,0,0.0
24,14.5,38.125,-15.691,48,1,1,0,0,20.0
25,14.5,38.125,-16.972375,49,1,1,0,0,10.0
26,14.5,46.125,-16.972375,50,1,1,0,0,10.0
27,14.5,46.125,-15.691,51,1,1,0,0,20.0
28,14.5,42.125,-15.691,52,1,1,0,0,10.0
29,14.5,42.125,-15.691,53,1,1,0,0,0.0
30,14.5,38.125,-15.691,54,1,1,0,0,20.0
31,10.5,38.125,-15.691,55,1,1,0,0,10.0
32,10.5,38.125,-12.5,56,1,1,0,1,10.0
33,10.5,46.125,-12.5,58,1,1,1,0,10.0
34,10.5,46.125,-10.691,60,1,1,0,0,10.0
35,10.5,42.125,-10.691,61,1,1,0,0,10.0
36,10.5,42.125,-10.691,62,1,1,0,0,0.0
37,10.5,38.125,-10.691,63,1,1,0,0,20.0
38,10.5,38.125,-11.972375,64,1,1,0,0,10.0
39,10.5,46.125,-11.972375,65,1,1,0,0,10.0
40,10.5,46.125,-10.691,66,1,1,0,0,20.0
41,10.5,42.125,-10.691,67,1,1,0,0,10.0
42,10.5,42.125,-10.691,68,1,1,0,0,0.0
43,10.5,38.125,-10.691,69,1,1,0,0,20.0
44,6.500000000000001,38.125,-10.691,70,1,1,0,0,10.0
45,6.500000000000001,38.125,-7.5,71,1,1,0,1,10.0
46,6.500000000000001,46.125,-7.5,73,1,1,1,0,10.0
47,6.500000000000001,46.125,-5.691,75,1,1,0,0,10.0
48,6.500000000000001,42.125,-5.691,76,1,1,0,0,10.0
49,6.500000000000001,42.125,-5.691,77,1,1,0,0,0.0
50,6.500000000000001,38.125,-5.691,78,1,1,0,0,20.0
51,6.500000000000001,38.125,-6.9723749999999995,79,1,1,0,0,10.0
52,6.500000000000001,46.125,-6.9723749999999995,80,1,1,0,0,10.0
53,6.500000000000001,46.125,-5.691,81,1,1,0,0,20.0
54,6.500000000000001,42.125,-5.691,82,1,1,0,0,10.0
55,6.500000000000001,42.125,-5.691,83,1,1,0,0,0.0
56,6.500000000000001,38.125,-5.691,84,1,1,0,0,20.0
57,6.500000000000001,38.125,10.0,85,1,0,0,0,20.0
