,x,y,z,line,p3_before,p3_after,p0_before,p0_after,p4_before,p4_after,p7_before,p7_after,speed
0,,,,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.0,41.165,,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2,20.0,41.165,,23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,20.0,41.165,,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.0,41.165,-22.5,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
5,20.0,41.165,-22.5,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6,20.0,41.165,-22.5,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
7,20.0,41.592,-22.5,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
8,5.0,41.592,-22.5,30,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
9,3.0,41.592,-22.5,32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
10,3.0,44.607,-22.5,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
11,12.5,44.607,-22.5,34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
12,12.5,44.607,-22.5,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,12.5,44.607,-22.5,37,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,12.5,44.607,-22.5,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,12.5,44.607,-22.5,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,12.5,44.607,-22.5,42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,20.0,44.607,-22.5,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
18,20.0,44.607,-21.972375,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
19,20.0,41.592,-21.972375,46,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
20,5.0,41.592,-21.972375,47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
21,3.0,41.592,-21.972375,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
22,3.0,44.607,-21.972375,49,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
23,12.5,44.607,-22.5,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
24,12.5,44.607,-22.5,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,12.5,44.607,-22.5,53,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,12.5,44.607,-22.5,55,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,12.5,44.607,-22.5,56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,12.5,44.607,-22.5,58,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,12.5,44.607,-20.0,60,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
30,20.0,44.607,-20.0,61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
31,20.0,44.607,-20.0,62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
32,20.0,44.607,-17.5,63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
33,20.0,44.607,-17.5,64,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
34,5.0,44.607,-17.5,66,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
35,3.0,44.607,-17.5,68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
36,3.0,47.622,-17.5,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
37,12.5,47.622,-17.5,70,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
38,12.5,47.622,-17.5,71,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,12.5,47.622,-17.5,73,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,12.5,47.622,-17.5,75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,12.5,47.622,-17.5,76,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,12.5,47.622,-17.5,78,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,20.0,47.622,-17.5,80,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
44,20.0,47.622,-16.972375,81,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
45,20.0,44.607,-16.972375,82,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
46,5.0,44.607,-16.972375,83,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
47,3.0,44.607,-16.972375,84,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
48,3.0,47.622,-16.972375,85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
49,12.5,47.622,-17.5,86,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
50,12.5,47.622,-17.5,87,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,12.5,47.622,-17.5,89,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,12.5,47.622,-17.5,91,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,12.5,47.622,-17.5,92,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,12.5,47.622,-17.5,94,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,12.5,47.622,-15.0,96,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
56,20.0,47.622,-15.0,97,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
57,20.0,47.622,-15.0,98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
