,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,12.5,2.5,,1,1,0,0,20.0
4,12.5,2.5,,1,1,0,0,20.0
5,12.5,2.5,-22.5,1,1,0,1,20.0
6,12.5,2.5,-17.5,1,1,1,0,10.0
7,12.5,4.309,-17.5,1,1,0,0,20.0
8,12.5,4.309,-20.0,1,1,0,0,10.0
9,12.5,4.309,-20.0,1,1,0,0,0.0
10,12.5,4.309,-17.5,1,1,0,0,10.0
11,12.5,2.8015,-17.5,1,1,0,0,10.0
12,12.5,2.8015,-22.5,1,1,0,0,20.0
13,12.5,2.8015,-17.5,1,1,0,0,10.0
14,12.5,4.309,-17.5,1,1,0,0,20.0
15,12.5,4.309,-20.0,1,1,0,0,10.0
16,12.5,4.309,-20.0,1,1,0,0,0.0
17,12.5,4.309,-17.5,1,1,0,0,10.0
18,12.5,2.5,-17.5,1,1,0,0,20.0
19,12.5,2.5,-12.5,1,1,0,1,20.0
20,12.5,2.5,-7.5,1,1,1,0,10.0
21,12.5,4.309,-7.5,1,1,0,0,20.0
22,12.5,4.309,-10.0,1,1,0,0,10.0
23,12.5,4.309,-10.0,1,1,0,0,0.0
24,12.5,4.309,-7.5,1,1,0,0,10.0
25,12.5,2.8015,-7.5,1,1,0,0,10.0
26,12.5,2.8015,-12.5,1,1,0,0,20.0
27,12.5,2.8015,-7.5,1,1,0,0,10.0
28,12.5,4.309,-7.5,1,1,0,0,20.0
29,12.5,4.309,-10.0,1,1,0,0,10.0
30,12.5,4.309,-10.0,1,1,0,0,0.0
31,12.5,4.309,-7.5,1,1,0,0,10.0
32,12.5,8.706,-7.5,1,1,0,0,20.0
33,12.5,8.706,-7.5,1,1,0,0,20.0
34,12.5,8.706,-22.5,1,1,0,1,20.0
35,12.5,8.706,-17.5,1,1,1,0,10.0
36,12.5,10.515,-17.5,1,1,0,0,20.0
37,12.5,10.515,-20.0,1,1,0,0,10.0
38,12.5,10.515,-20.0,1,1,0,0,0.0
39,12.5,10.515,-17.5,1,1,0,0,10.0
40,12.5,9.0075,-17.5,1,1,0,0,10.0
41,12.5,9.0075,-22.5,1,1,0,0,20.0
42,12.5,9.0075,-17.5,1,1,0,0,10.0
43,12.5,10.515,-17.5,1,1,0,0,20.0
44,12.5,10.515,-20.0,1,1,0,0,10.0
45,12.5,10.515,-20.0,1,1,0,0,0.0
46,12.5,10.515,-17.5,1,1,0,0,10.0
47,12.5,8.706,-17.5,1,1,0,0,20.0
48,12.5,8.706,-12.5,1,1,0,1,20.0
49,12.5,8.706,-7.5,1,1,1,0,10.0
50,12.5,10.515,-7.5,1,1,0,0,20.0
51,12.5,10.515,-10.0,1,1,0,0,10.0
52,12.5,10.515,-10.0,1,1,0,0,0.0
53,12.5,10.515,-7.5,1,1,0,0,10.0
54,12.5,9.0075,-7.5,1,1,0,0,10.0
55,12.5,9.0075,-12.5,1,1,0,0,20.0
56,12.5,9.0075,-7.5,1,1,0,0,10.0
57,12.5,10.515,-7.5,1,1,0,0,20.0
58,12.5,10.515,-10.0,1,1,0,0,10.0
59,12.5,10.515,-10.0,1,1,0,0,0.0
60,12.5,10.515,-7.5,1,1,0,0,10.0
61,12.5,14.911999999999999,-7.5,1,1,0,0,20.0
62,12.5,14.911999999999999,10.0,1,0,0,0,20.0
