,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,12.5,,,1,1,0,0,10.0
4,12.5,,-22.5,1,1,0,0,20.0
5,12.5,61.875,-22.5,1,1,0,1,10.0
6,12.5,69.875,-22.5,1,1,1,0,10.0
7,12.5,69.875,-20.691,1,1,0,0,20.0
8,12.5,65.875,-20.691,1,1,0,0,10.0
9,12.5,65.875,-20.691,1,1,0,0,0.0
10,12.5,61.875,-20.691,1,1,0,0,20.0
11,12.5,61.875,-21.74625,1,1,0,0,10.0
12,12.5,69.875,-21.74625,1,1,0,0,10.0
13,12.5,69.875,-20.691,1,1,0,0,20.0
14,12.5,65.875,-20.691,1,1,0,0,10.0
15,12.5,65.875,-20.691,1,1,0,0,0.0
16,12.5,61.875,-20.691,1,1,0,0,20.0
17,12.5,61.875,-17.5,1,1,0,0,20.0
18,12.5,61.875,-17.5,1,1,0,1,10.0
19,12.5,69.875,-17.5,1,1,1,0,10.0
20,12.5,69.875,-15.691,1,1,0,0,20.0
21,12.5,65.875,-15.691,1,1,0,0,10.0
22,12.5,65.875,-15.691,1,1,0,0,0.0
23,12.5,61.875,-15.691,1,1,0,0,20.0
24,12.5,61.875,-16.74625,1,1,0,0,10.0
25,12.5,69.875,-16.74625,1,1,0,0,10.0
26,12.5,69.875,-15.691,1,1,0,0,20.0
27,12.5,65.875,-15.691,1,1,0,0,10.0
28,12.5,65.875,-15.691,1,1,0,0,0.0
29,12.5,61.875,-15.691,1,1,0,0,20.0
30,12.5,61.875,-12.5,1,1,0,0,20.0
31,12.5,61.875,-12.5,1,1,0,1,10.0
32,12.5,69.875,-12.5,1,1,1,0,10.0
33,12.5,69.875,-10.691,1,1,0,0,20.0
34,12.5,65.875,-10.691,1,1,0,0,10.0
35,12.5,65.875,-10.691,1,1,0,0,0.0
36,12.5,61.875,-10.691,1,1,0,0,20.0
37,12.5,61.875,-11.74625,1,1,0,0,10.0
38,12.5,69.875,-11.74625,1,1,0,0,10.0
39,12.5,69.875,-10.691,1,1,0,0,20.0
40,12.5,65.875,-10.691,1,1,0,0,10.0
41,12.5,65.875,-10.691,1,1,0,0,0.0
42,12.5,61.875,-10.691,1,1,0,0,20.0
43,12.5,61.875,-7.5,1,1,0,0,20.0
44,12.5,61.875,-7.5,1,1,0,1,10.0
45,12.5,69.875,-7.5,1,1,1,0,10.0
46,12.5,69.875,-5.691,1,1,0,0,20.0
47,12.5,65.875,-5.691,1,1,0,0,10.0
48,12.5,65.875,-5.691,1,1,0,0,0.0
49,12.5,61.875,-5.691,1,1,0,0,20.0
50,12.5,61.875,-6.74625,1,1,0,0,10.0
51,12.5,69.875,-6.74625,1,1,0,0,10.0
52,12.5,69.875,-5.691,1,1,0,0,20.0
53,12.5,65.875,-5.691,1,1,0,0,10.0
54,12.5,65.875,-5.691,1,1,0,0,0.0
55,12.5,61.875,-5.691,1,1,0,0,20.0
56,12.5,61.875,10.0,1,0,0,0,20.0
