,x,y,z,line,p11_before,p11_after,p0_before,p0_after,speed
0,,,,112,0,1,0,0,0.0
1,,,,114,1,1,0,1,0.0
2,,,,115,1,1,1,0,0.0
3,12.5,14.911999999999999,,116,1,1,0,0,20.0
4,15.515,14.911999999999999,,117,1,1,0,0,20.0
5,15.515,14.911999999999999,,118,1,1,0,0,20.0
6,15.515,14.911999999999999,-22.5,119,1,1,0,1,20.0
7,15.515,14.911999999999999,-15.0,121,1,1,1,0,10.0
8,15.515,16.721,-15.0,123,1,1,0,0,20.0
9,15.515,16.721,-18.75,124,1,1,0,0,10.0
10,15.515,16.721,-18.75,125,1,1,0,0,0.0
11,15.515,16.721,-15.0,126,1,1,0,0,10.0
12,15.515,15.288875,-15.0,127,1,1,0,0,10.0
13,15.515,15.288875,-22.5,128,1,1,0,0,20.0
14,15.515,15.288875,-15.0,129,1,1,0,0,10.0
15,15.515,16.721,-15.0,130,1,1,0,0,20.0
16,15.515,16.721,-18.75,131,1,1,0,0,10.0
17,15.515,16.721,-18.75,132,1,1,0,0,0.0
18,15.515,16.721,-15.0,133,1,1,0,0,10.0
19,9.485,16.721,-15.0,134,1,1,0,0,20.0
20,9.485,14.911999999999999,-15.0,135,1,1,0,0,20.0
21,9.485,14.911999999999999,-12.5,136,1,1,0,1,20.0
22,9.485,14.911999999999999,-5.0,138,1,1,1,0,10.0
23,9.485,16.721,-5.0,140,1,1,0,0,20.0
24,9.485,16.721,-8.75,141,1,1,0,0,10.0
25,9.485,16.721,-8.75,142,1,1,0,0,0.0
26,9.485,16.721,-5.0,143,1,1,0,0,10.0
27,9.485,15.288875,-5.0,144,1,1,0,0,10.0
28,9.485,15.288875,-12.5,145,1,1,0,0,20.0
29,9.485,15.288875,-5.0,146,1,1,0,0,10.0
30,9.485,16.721,-5.0,147,1,1,0,0,20.0
31,9.485,16.721,-8.75,148,1,1,0,0,10.0
32,9.485,16.721,-8.75,149,1,1,0,0,0.0
33,9.485,16.721,-5.0,150,1,1,0,0,10.0
34,9.485,21.118,-5.0,151,1,1,0,0,20.0
35,15.515,21.118,-5.0,152,1,1,0,0,20.0
36,15.515,21.118,-5.0,153,1,1,0,0,20.0
37,15.515,21.118,-22.5,154,1,1,0,1,20.0
38,15.515,21.118,-15.0,156,1,1,1,0,10.0
39,15.515,22.927,-15.0,158,1,1,0,0,20.0
40,15.515,22.927,-18.75,159,1,1,0,0,10.0
41,15.515,22.927,-18.75,160,1,1,0,0,0.0
42,15.515,22.927,-15.0,161,1,1,0,0,10.0
43,15.515,21.494875,-15.0,162,1,1,0,0,10.0
44,15.515,21.494875,-22.5,163,1,1,0,0,20.0
45,15.515,21.494875,-15.0,164,1,1,0,0,10.0
46,15.515,22.927,-15.0,165,1,1,0,0,20.0
47,15.515,22.927,-18.75,166,1,1,0,0,10.0
48,15.515,22.927,-18.75,167,1,1,0,0,0.0
49,15.515,22.927,-15.0,168,1,1,0,0,10.0
50,9.485,22.927,-15.0,169,1,1,0,0,20.0
51,9.485,21.118,-15.0,170,1,1,0,0,20.0
52,9.485,21.118,-12.5,171,1,1,0,1,20.0
53,9.485,21.118,-5.0,173,1,1,1,0,10.0
54,9.485,22.927,-5.0,175,1,1,0,0,20.0
55,9.485,22.927,-8.75,176,1,1,0,0,10.0
56,9.485,22.927,-8.75,177,1,1,0,0,0.0
57,9.485,22.927,-5.0,178,1,1,0,0,10.0
58,9.485,21.494875,-5.0,179,1,1,0,0,10.0
59,9.485,21.494875,-12.5,180,1,1,0,0,20.0
60,9.485,21.494875,-5.0,181,1,1,0,0,10.0
61,9.485,22.927,-5.0,182,1,1,0,0,20.0
62,9.485,22.927,-8.75,183,1,1,0,0,10.0
63,9.485,22.927,-8.75,184,1,1,0,0,0.0
64,9.485,22.927,-5.0,185,1,1,0,0,10.0
65,9.485,27.323999999999998,-5.0,186,1,1,0,0,20.0
66,9.485,27.323999999999998,10.0,187,1,0,0,0,20.0
