,x,y,z,line,p3_before,p3_after,p10_before,p10_after,p11_before,p11_after,speed
0,,,,20,0,0,0,0,0,0,0.0
1,17.5,37.547,,20,0,1,0,0,0,0,20.0
2,17.5,37.547,-22.5,22,1,1,0,0,0,0,20.0
3,20.0,37.974,-22.5,23,1,1,0,1,0,0,20.0
4,5.0,37.974,-22.5,25,1,1,1,0,0,0,10.0
5,3.0,37.974,-22.5,27,1,1,0,0,0,0,10.0
6,3.0,39.783,-22.5,28,1,1,0,0,0,0,10.0
7,12.5,39.783,-22.5,29,1,1,0,0,0,0,10.0
8,12.5,39.783,-22.5,30,1,1,0,0,0,1,0.0
9,12.5,39.783,-22.5,32,1,1,0,0,1,0,0.0
10,12.5,39.783,-22.5,34,1,1,0,0,0,0,0.0
11,12.5,39.783,-22.5,35,1,1,0,0,0,1,0.0
12,12.5,39.783,-22.5,37,1,1,0,0,1,0,0.0
13,20.0,39.783,-22.5,39,1,1,0,0,0,0,10.0
14,20.0,38.501625,-22.5,40,1,1,0,0,0,0,10.0
15,3.0,38.501625,-22.5,41,1,1,0,0,0,0,10.0
16,3.0,39.783,-22.5,42,1,1,0,0,0,0,10.0
17,12.5,39.783,-22.5,43,1,1,0,0,0,0,10.0
18,12.5,39.783,-22.5,44,1,1,0,0,0,1,0.0
19,12.5,39.783,-22.5,46,1,1,0,0,1,0,0.0
20,12.5,39.783,-22.5,48,1,1,0,0,0,0,0.0
21,12.5,39.783,-22.5,49,1,1,0,0,0,1,0.0
22,12.5,39.783,-22.5,51,1,1,0,0,1,0,0.0
23,12.5,39.783,-20.0,53,1,1,0,0,0,0,20.0
24,20.0,39.783,-20.0,54,1,1,0,0,0,0,20.0
25,20.0,40.989,-17.5,55,1,1,0,1,0,0,20.0
26,5.0,40.989,-17.5,57,1,1,1,0,0,0,10.0
27,3.0,40.989,-17.5,59,1,1,0,0,0,0,10.0
28,3.0,42.798,-17.5,60,1,1,0,0,0,0,10.0
29,12.5,42.798,-17.5,61,1,1,0,0,0,0,10.0
30,12.5,42.798,-17.5,62,1,1,0,0,0,1,0.0
31,12.5,42.798,-17.5,64,1,1,0,0,1,0,0.0
32,12.5,42.798,-17.5,66,1,1,0,0,0,0,0.0
33,12.5,42.798,-17.5,67,1,1,0,0,0,1,0.0
34,12.5,42.798,-17.5,69,1,1,0,0,1,0,0.0
35,20.0,42.798,-17.5,71,1,1,0,0,0,0,10.0
36,20.0,41.516625,-17.5,72,1,1,0,0,0,0,10.0
37,3.0,41.516625,-17.5,73,1,1,0,0,0,0,10.0
38,3.0,42.798,-17.5,74,1,1,0,0,0,0,10.0
39,12.5,42.798,-17.5,75,1,1,0,0,0,0,10.0
