,x,y,z,line,p11_before,p11_after,p0_before,p0_after,speed
0,,,,85,0,0,0,0,0.0
1,17.5,46.004,,86,0,1,0,0,20.0
2,17.5,46.004,,88,1,1,0,1,0.0
3,17.5,46.004,,89,1,1,1,0,0.0
4,17.5,46.004,-22.5,90,1,1,0,0,20.0
5,20.0,46.431,-22.5,91,1,1,0,1,20.0
6,5.0,46.431,-22.5,93,1,1,1,0,10.0
7,5.0,48.239999999999995,-22.5,95,1,1,0,0,10.0
8,12.5,48.239999999999995,-22.5,96,1,1,0,0,10.0
9,12.5,48.239999999999995,-22.5,97,1,1,0,0,0.0
10,20.0,48.239999999999995,-22.5,98,1,1,0,0,10.0
11,20.0,48.239999999999995,-21.897,99,1,1,0,0,10.0
12,20.0,46.431,-21.897,100,1,1,0,0,10.0
13,5.0,46.431,-21.897,101,1,1,0,0,10.0
14,5.0,48.239999999999995,-21.897,102,1,1,0,0,10.0
15,5.0,48.239999999999995,-22.5,103,1,1,0,0,10.0
16,12.5,48.239999999999995,-22.5,104,1,1,0,0,10.0
17,12.5,48.239999999999995,-22.5,105,1,1,0,0,0.0
18,12.5,48.239999999999995,-20.0,106,1,1,0,0,20.0
19,20.0,48.239999999999995,-20.0,107,1,1,0,0,20.0
20,20.0,49.446,-17.5,108,1,1,0,1,20.0
21,5.0,49.446,-17.5,110,1,1,1,0,10.0
22,5.0,51.254999999999995,-17.5,112,1,1,0,0,10.0
23,12.5,51.254999999999995,-17.5,113,1,1,0,0,10.0
24,12.5,51.254999999999995,-17.5,114,1,1,0,0,0.0
25,20.0,51.254999999999995,-17.5,115,1,1,0,0,10.0
26,20.0,51.254999999999995,-16.897,116,1,1,0,0,10.0
27,20.0,49.446,-16.897,117,1,1,0,0,10.0
28,5.0,49.446,-16.897,118,1,1,0,0,10.0
29,5.0,51.254999999999995,-16.897,119,1,1,0,0,10.0
30,5.0,51.254999999999995,-17.5,120,1,1,0,0,10.0
31,12.5,51.254999999999995,-17.5,121,1,1,0,0,10.0
32,12.5,51.254999999999995,-17.5,122,1,1,0,0,0.0
33,12.5,51.254999999999995,-15.0,123,1,1,0,0,20.0
34,20.0,51.254999999999995,-15.0,124,1,1,0,0,20.0
35,20.0,52.461,-12.5,125,1,1,0,1,20.0
36,5.0,52.461,-12.5,127,1,1,1,0,10.0
37,5.0,54.269999999999996,-12.5,129,1,1,0,0,10.0
38,12.5,54.269999999999996,-12.5,130,1,1,0,0,10.0
39,12.5,54.269999999999996,-12.5,131,1,1,0,0,0.0
40,20.0,54.269999999999996,-12.5,132,1,1,0,0,10.0
41,20.0,54.269999999999996,-11.897,133,1,1,0,0,10.0
42,20.0,52.461,-11.897,134,1,1,0,0,10.0
43,5.0,52.461,-11.897,135,1,1,0,0,10.0
44,5.0,54.269999999999996,-11.897,136,1,1,0,0,10.0
45,5.0,54.269999999999996,-12.5,137,1,1,0,0,10.0
46,12.5,54.269999999999996,-12.5,138,1,1,0,0,10.0
47,12.5,54.269999999999996,-12.5,139,1,1,0,0,0.0
48,12.5,54.269999999999996,-10.0,140,1,1,0,0,20.0
49,20.0,54.269999999999996,-10.0,141,1,1,0,0,20.0
50,20.0,55.476,-7.5,142,1,1,0,1,20.0
51,5.0,55.476,-7.5,144,1,1,1,0,10.0
52,5.0,57.285,-7.5,146,1,1,0,0,10.0
53,12.5,57.285,-7.5,147,1,1,0,0,10.0
54,12.5,57.285,-7.5,148,1,1,0,0,0.0
55,20.0,57.285,-7.5,149,1,1,0,0,10.0
56,20.0,57.285,-6.897,150,1,1,0,0,10.0
57,20.0,55.476,-6.897,151,1,1,0,0,10.0
58,5.0,55.476,-6.897,152,1,1,0,0,10.0
59,5.0,57.285,-6.897,153,1,1,0,0,10.0
60,5.0,57.285,-7.5,154,1,1,0,0,10.0
61,12.5,57.285,-7.5,155,1,1,0,0,10.0
62,12.5,57.285,-7.5,156,1,1,0,0,0.0
63,12.5,57.285,-5.0,157,1,1,0,0,20.0
64,20.0,57.285,-5.0,158,1,1,0,0,20.0
65,20.0,57.285,10.0,159,1,0,0,0,20.0
