,x,y,z,p1_before,p1_after,speed
0,12.5,2.5,0.0,0,0,20.0
1,12.5,2.5,-12.8,0,1,20.0
2,12.5,10.5,-12.8,1,1,10.0
3,12.5,10.5,-12.8,1,1,20.0
4,12.5,12.5,-12.8,1,1,10.0
5,12.5,12.5,-12.5,1,1,10.0
6,12.5,4.5,-12.5,1,1,10.0
7,12.5,4.5,-12.5,1,1,20.0
8,12.5,2.5,-12.5,1,0,10.0
9,11.0,3.75,-12.5,0,0,20.0
10,11.0,3.75,-12.2,0,1,20.0
11,12.0,3.75,-12.2,1,1,10.0
12,12.0,3.75,-12.2,1,1,20.0
13,14.0,3.75,-12.2,1,0,10.0
14,14.0,6.25,-12.2,0,1,20.0
15,13.0,6.25,-12.2,1,1,10.0
16,13.0,6.25,-12.2,1,1,20.0
17,11.0,6.25,-12.2,1,0,10.0
18,11.0,8.75,-12.2,0,1,20.0
19,12.0,8.75,-12.2,1,1,10.0
20,12.0,8.75,-12.2,1,1,20.0
21,14.0,8.75,-12.2,1,0,10.0
22,14.0,11.25,-12.2,0,1,20.0
23,13.0,11.25,-12.2,1,1,10.0
24,13.0,11.25,-12.2,1,1,20.0
25,11.0,11.25,-12.2,1,0,10.0
26,11.0,11.25,-9.7,0,0,10.0
27,12.5,2.5,-9.7,0,0,20.0
28,12.5,2.5,-10.3,0,1,20.0
29,12.5,10.5,-10.3,1,1,10.0
30,12.5,10.5,-10.3,1,1,20.0
31,12.5,12.5,-10.3,1,1,10.0
32,12.5,12.5,-10.0,1,1,10.0
33,12.5,4.5,-10.0,1,1,10.0
34,12.5,4.5,-10.0,1,1,20.0
35,12.5,2.5,-10.0,1,0,10.0
36,11.0,3.75,-10.0,0,0,20.0
37,11.0,3.75,-9.7,0,1,20.0
38,12.0,3.75,-9.7,1,1,10.0
39,12.0,3.75,-9.7,1,1,20.0
40,14.0,3.75,-9.7,1,0,10.0
41,14.0,6.25,-9.7,0,1,20.0
42,13.0,6.25,-9.7,1,1,10.0
43,13.0,6.25,-9.7,1,1,20.0
44,11.0,6.25,-9.7,1,0,10.0
45,11.0,8.75,-9.7,0,1,20.0
46,12.0,8.75,-9.7,1,1,10.0
47,12.0,8.75,-9.7,1,1,20.0
48,14.0,8.75,-9.7,1,0,10.0
49,14.0,11.25,-9.7,0,1,20.0
50,13.0,11.25,-9.7,1,1,10.0
51,13.0,11.25,-9.7,1,1,20.0
52,11.0,11.25,-9.7,1,0,10.0
53,11.0,11.25,-7.2,0,0,10.0
54,12.5,2.5,-7.2,0,0,20.0
55,12.5,2.5,-7.8,0,1,20.0
56,12.5,10.5,-7.8,1,1,10.0
57,12.5,10.5,-7.8,1,1,20.0
58,12.5,12.5,-7.8,1,1,10.0
59,12.5,12.5,-7.5,1,1,10.0
60,12.5,4.5,-7.5,1,1,10.0
61,12.5,4.5,-7.5,1,1,20.0
62,12.5,2.5,-7.5,1,0,10.0
63,11.0,3.75,-7.5,0,0,20.0
64,11.0,3.75,-7.2,0,1,20.0
65,12.0,3.75,-7.2,1,1,10.0
66,12.0,3.75,-7.2,1,1,20.0
67,14.0,3.75,-7.2,1,0,10.0
68,14.0,6.25,-7.2,0,1,20.0
69,13.0,6.25,-7.2,1,1,10.0
70,13.0,6.25,-7.2,1,1,20.0
71,11.0,6.25,-7.2,1,0,10.0
72,11.0,8.75,-7.2,0,1,20.0
73,12.0,8.75,-7.2,1,1,10.0
74,12.0,8.75,-7.2,1,1,20.0
75,14.0,8.75,-7.2,1,0,10.0
76,14.0,11.25,-7.2,0,1,20.0
77,13.0,11.25,-7.2,1,1,10.0
78,13.0,11.25,-7.2,1,1,20.0
79,11.0,11.25,-7.2,1,0,10.0
80,11.0,11.25,-4.7,0,0,10.0
81,11.0,11.25,10.0,0,0,10.0
