,x,y,z,p0_before,p0_after,speed
0,15.0,38.125,,0,0,20.0
1,15.0,38.125,-12.5,0,1,20.0
2,15.0,48.125,-12.5,1,1,10.0
3,15.527625,48.125,-12.5,1,1,10.0
4,15.527625,38.125,-12.5,1,1,10.0
5,17.5,38.125,-12.5,1,1,10.0
6,17.5,48.125,-12.5,1,1,10.0
7,18.027625,48.125,-12.5,1,1,10.0
8,18.027625,38.125,-12.5,1,1,10.0
9,20.0,38.125,-12.5,1,1,10.0
10,20.0,48.125,-12.5,1,1,10.0
11,20.527625,48.125,-12.5,1,1,10.0
12,20.527625,38.125,-12.5,1,0,10.0
13,20.527625,38.125,-11.972375,0,0,10.0
14,22.5,39.375,-11.972375,0,0,20.0
15,22.5,39.375,-11.972375,0,1,20.0
16,13.75,39.375,-11.972375,1,1,10.0
17,13.75,41.875,-11.972375,1,1,10.0
18,22.5,41.875,-11.972375,1,1,10.0
19,22.5,44.375,-11.972375,1,1,10.0
20,13.75,44.375,-11.972375,1,1,10.0
21,13.75,46.875,-11.972375,1,1,10.0
22,22.5,46.875,-11.972375,1,0,10.0
23,22.5,46.875,10.0,0,0,10.0
