,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,15.0,61.775,,1,1,0,0,20.0
4,15.0,61.775,-12.5,1,1,0,0,10.0
5,15.0,61.875,-12.5,1,1,0,1,20.0
6,15.0,71.875,-12.5,1,1,1,1,10.0
7,15.75375,71.875,-12.5,1,1,1,1,10.0
8,15.75375,61.875,-12.5,1,1,1,1,10.0
9,17.5,61.875,-12.5,1,1,1,1,10.0
10,17.5,71.875,-12.5,1,1,1,1,10.0
11,18.25375,71.875,-12.5,1,1,1,1,10.0
12,18.25375,61.875,-12.5,1,1,1,1,10.0
13,20.0,61.875,-12.5,1,1,1,1,10.0
14,20.0,71.875,-12.5,1,1,1,1,10.0
15,20.75375,71.875,-12.5,1,1,1,1,10.0
16,20.75375,61.875,-12.5,1,1,1,0,10.0
17,20.75375,61.875,-11.74625,1,1,0,0,10.0
18,22.5,63.025,-11.74625,1,1,0,0,20.0
19,22.5,63.025,-11.74625,1,1,0,0,10.0
20,22.5,63.125,-11.74625,1,1,0,1,20.0
21,13.75,63.125,-11.74625,1,1,1,1,10.0
22,13.75,65.625,-11.74625,1,1,1,1,10.0
23,22.5,65.625,-11.74625,1,1,1,1,10.0
24,22.5,68.125,-11.74625,1,1,1,1,10.0
25,13.75,68.125,-11.74625,1,1,1,1,10.0
26,13.75,70.625,-11.74625,1,1,1,1,10.0
27,22.5,70.625,-11.74625,1,1,1,0,10.0
28,22.5,70.625,10.0,1,0,0,0,20.0
