,x,y,z,p11_before,p11_after,p1_before,p1_after,p0_before,p0_after,speed
0,10.0,2.4,,0,0,0,0,0,0,20.0
1,10.0,2.4,-12.5,0,0,0,0,0,0,10.0
2,10.0,2.5,-12.5,0,0,0,0,0,1,20.0
3,10.0,12.5,-12.5,0,0,0,0,1,1,10.0
4,9.6985,12.5,-12.5,0,0,0,0,1,1,10.0
5,9.6985,2.5,-12.5,0,0,0,0,1,1,10.0
6,7.5,2.5,-12.5,0,0,0,0,1,1,10.0
7,7.5,12.5,-12.5,0,0,0,0,1,1,10.0
8,7.1985,12.5,-12.5,0,0,0,0,1,1,10.0
9,7.1985,2.5,-12.5,0,0,0,0,1,1,10.0
10,5.0,2.5,-12.5,0,0,0,0,1,1,10.0
11,5.0,12.5,-12.5,0,0,0,0,1,1,10.0
12,4.6985,12.5,-12.5,0,0,0,0,1,1,10.0
13,4.6985,2.5,-12.5,0,0,0,0,1,0,10.0
14,4.6985,2.5,-10.0,0,0,0,0,0,0,20.0
15,9.397,2.5,-10.0,0,0,0,0,0,0,20.0
16,9.397,3.75,-10.0,0,0,0,0,0,0,20.0
17,9.397,3.75,-15.0,0,0,0,0,0,1,20.0
18,9.397,3.75,-10.0,0,0,0,0,1,0,10.0
19,9.397,6.25,-10.0,0,0,0,0,0,0,20.0
20,9.397,6.25,-15.0,0,0,0,0,0,1,20.0
21,9.397,6.25,-10.0,0,0,0,0,1,0,10.0
22,9.397,8.75,-10.0,0,0,0,0,0,0,20.0
23,9.397,8.75,-15.0,0,0,0,0,0,1,20.0
24,9.397,8.75,-10.0,0,0,0,0,1,0,10.0
25,9.397,11.25,-10.0,0,0,0,0,0,0,20.0
26,9.397,11.25,-15.0,0,0,0,0,0,1,20.0
27,9.397,11.25,-10.0,0,0,0,0,1,0,10.0
28,9.397,11.25,-10.0,0,0,0,0,0,0,20.0
29,6.897,11.25,-10.0,0,0,0,0,0,0,20.0
30,6.897,3.75,-10.0,0,0,0,0,0,0,20.0
31,6.897,3.75,-15.0,0,0,0,0,0,1,20.0
32,6.897,3.75,-10.0,0,0,0,0,1,0,10.0
33,6.897,6.25,-10.0,0,0,0,0,0,0,20.0
34,6.897,6.25,-15.0,0,0,0,0,0,1,20.0
35,6.897,6.25,-10.0,0,0,0,0,1,0,10.0
36,6.897,8.75,-10.0,0,0,0,0,0,0,20.0
37,6.897,8.75,-15.0,0,0,0,0,0,1,20.0
38,6.897,8.75,-10.0,0,0,0,0,1,0,10.0
39,6.897,11.25,-10.0,0,0,0,0,0,0,20.0
40,6.897,11.25,-15.0,0,0,0,0,0,1,20.0
41,6.897,11.25,-10.0,0,0,0,0,1,0,10.0
42,6.897,11.25,-10.0,0,0,0,0,0,0,20.0
43,4.397,11.25,-10.0,0,0,0,0,0,0,20.0
44,4.397,3.75,-10.0,0,0,0,0,0,0,20.0
45,4.397,3.75,-15.0,0,0,0,0,0,1,20.0
46,4.397,3.75,-10.0,0,0,0,0,1,0,10.0
47,4.397,6.25,-10.0,0,0,0,0,0,0,20.0
48,4.397,6.25,-15.0,0,0,0,0,0,1,20.0
49,4.397,6.25,-10.0,0,0,0,0,1,0,10.0
50,4.397,8.75,-10.0,0,0,0,0,0,0,20.0
51,4.397,8.75,-15.0,0,0,0,0,0,1,20.0
52,4.397,8.75,-10.0,0,0,0,0,1,0,10.0
53,4.397,11.25,-10.0,0,0,0,0,0,0,20.0
54,4.397,11.25,-15.0,0,0,0,0,0,1,20.0
55,4.397,11.25,-10.0,0,0,0,0,1,0,10.0
56,4.397,11.25,10.0,0,0,0,0,0,0,20.0
